"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/03/30","月","2026/03/30 11:29:51","2026/03/30 11:50:44","1","1800","1","ランチ","ランチ","00000004029:カキフライ定食","並盛x1","1800","1","2026/03/30 11:29:51","20:配膳済"
"2026/03/30","月","2026/03/30 11:32:22","2026/03/30 13:41:28","0","1200","1","ロケットナウ","お弁当","00000003826:ロケットとり天弁当","おろしソースx1 / 大盛りx1","1200","1","2026/03/30 11:32:22","20:配膳済"
"2026/03/30","月","2026/03/30 11:40:05","2026/03/30 12:00:46","1","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/03/30 11:40:05","20:配膳済"
"2026/03/30","月","2026/03/30 11:41:03","2026/03/30 12:15:44","2","2400","2","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/03/30 11:41:27","20:配膳済"
"2026/03/30","月","2026/03/30 11:41:03","2026/03/30 12:15:44","2","2400","2","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/03/30 11:41:27","20:配膳済"
"2026/03/30","月","2026/03/30 11:41:03","2026/03/30 12:15:29","2","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/03/30 11:41:27","20:配膳済"
"2026/03/30","月","2026/03/30 11:41:03","2026/03/30 12:15:44","2","1200","1","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/03/30 11:41:27","20:配膳済"
"2026/03/30","月","2026/03/30 11:56:39","2026/03/30 12:19:43","1","1680","3","ランチ","ランチ","00000001786:サバ定食","並盛x1","1200","1","2026/03/30 11:56:54","20:配膳済"
"2026/03/30","月","2026/03/30 11:56:39","2026/03/30 12:19:43","1","1680","3","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/03/30 11:56:54","20:配膳済"
"2026/03/30","月","2026/03/30 11:56:39","2026/03/30 12:19:43","1","1680","3","ランチ","サイドメニュー","00000004044:サラダ","","330","1","2026/03/30 11:56:54","20:配膳済"
