2026/04/20 09:18 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","H.伝票番号"
"2026/04/13","月","2026/04/13 12:24:18","2026/04/13 14:25:14","0","5700","1","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/13 12:24:18","1","20:配膳済","No:202600200000154"
"2026/04/13","月","2026/04/13 12:25:29","2026/04/13 13:10:25","2","11600","4","フード","ランチ","00000001984:ランチうな重","","5500","2026/04/13 12:25:29","1","20:配膳済","No:202600200000155"
"2026/04/13","月","2026/04/13 12:25:29","2026/04/13 13:10:25","2","11600","4","フード","ランチ","00000001984:ランチうな重","","5500","2026/04/13 12:25:29","1","20:配膳済","No:202600200000155"
"2026/04/13","月","2026/04/13 12:25:29","2026/04/13 13:10:25","2","11600","4","ランチ","ランチ","00000003803:肝吸い変更","","300","2026/04/13 12:25:29","1","20:配膳済","No:202600200000155"
"2026/04/13","月","2026/04/13 12:25:29","2026/04/13 13:10:25","2","11600","4","ランチ","ランチ","00000003803:肝吸い変更","","300","2026/04/13 12:25:29","1","20:配膳済","No:202600200000155"
"2026/04/13","月","2026/04/13 12:25:39","2026/04/13 13:14:59","2","11990","3","フード","ランチ","00000001984:ランチうな重","","5500","2026/04/13 12:25:39","1","20:配膳済","No:202600200000156"
"2026/04/13","月","2026/04/13 12:25:39","2026/04/13 13:14:59","2","11990","3","フード","ランチ","00000001984:ランチうな重","","5500","2026/04/13 12:25:39","1","20:配膳済","No:202600200000156"
"2026/04/13","月","2026/04/13 12:25:39","2026/04/13 13:14:59","2","11990","3","ドリンク","ビール","00000000402:ｱｻﾋｽｰﾊﾟｰﾄﾞﾗｲ(瓶)","","900","2026/04/13 12:54:31","1","20:配膳済","No:202600200000156"
"2026/04/13","月","2026/04/13 12:27:42","2026/04/13 13:24:39","2","8320","4","フード","鰻料理","00000000359:肝焼き","","600","2026/04/13 12:27:42","1","20:配膳済","No:202600200000157"
"2026/04/13","月","2026/04/13 12:27:42","2026/04/13 13:24:39","2","8320","4","フード","鰻料理","00000000359:肝焼き","","600","2026/04/13 12:27:42","1","20:配膳済","No:202600200000157"
"2026/04/13","月","2026/04/13 12:27:42","2026/04/13 13:24:39","2","8320","4","フード","ランチ","00000001985:ランチうな重ハーフ","","3500","2026/04/13 12:27:42","1","20:配膳済","No:202600200000157"
"2026/04/13","月","2026/04/13 12:27:42","2026/04/13 13:24:39","2","8320","4","フード","ランチ","00000001985:ランチうな重ハーフ","","3500","2026/04/13 12:27:42","1","20:配膳済","No:202600200000157"
"2026/04/13","月","2026/04/13 15:48:21","2026/04/13 17:13:58","0","6300","1","テイクアウト","出前館","00000000515:Uberうな重ハーフ肝焼き入り","","6300","2026/04/13 15:48:21","1","20:配膳済","No:202600200000158"
"2026/04/13","月","2026/04/13 17:27:31","2026/04/13 20:50:17","8","124385","83","フード","お通し","00000000443:お通し","","700","2026/04/13 17:27:31","1","20:配膳済","No:202600200000159"
"2026/04/13","月","2026/04/13 17:27:31","2026/04/13 20:50:17","8","124385","83","フード","お通し","00000000443:お通し","","700","2026/04/13 17:27:31","1","20:配膳済","No:202600200000159"
"2026/04/13","月","2026/04/13 17:27:31","2026/04/13 20:50:17","8","124385","83","フード","お通し","00000000443:お通し","","700","2026/04/13 17:27:31","1","20:配膳済","No:202600200000159"
"2026/04/13","月","2026/04/13 17:27:31","2026/04/13 20:50:17","8","124385","83","フード","お通し","00000000443:お通し","","700","2026/04/13 17:27:31","1","20:配膳済","No:202600200000159"
"2026/04/13","月","2026/04/13 17:27:31","2026/04/13 20:50:17","8","124385","83","フード","お通し","00000000443:お通し","","700","2026/04/13 17:27:31","1","20:配膳済","No:202600200000159"
