"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","H.伝票番号"
"2026/04/27","月","2026/04/27 11:40:11","2026/04/27 16:24:46","0","17100","3","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/27 11:40:11","1","20:配膳済","No:202600200000313"
"2026/04/27","月","2026/04/27 11:40:11","2026/04/27 16:24:46","0","17100","3","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/27 11:40:11","1","20:配膳済","No:202600200000313"
"2026/04/27","月","2026/04/27 11:40:11","2026/04/27 16:24:46","0","17100","3","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/27 11:40:11","1","20:配膳済","No:202600200000313"
"2026/04/27","月","2026/04/27 17:07:05","2026/04/27 18:01:28","2","21540","4","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","","700","2026/04/27 17:07:05","1","20:配膳済","No:202600200000314"
"2026/04/27","月","2026/04/27 17:07:05","2026/04/27 18:01:28","2","21540","4","ドリンク","ソフトドリンク","00000003531:内臓美人茶","","700","2026/04/27 17:07:05","1","20:配膳済","No:202600200000314"
"2026/04/27","月","2026/04/27 17:07:05","2026/04/27 18:01:28","2","21540","4","コース","コース","00000000510:麻布しきコース","","10000","2026/04/27 17:07:05","1","20:配膳済","No:202600200000314"
"2026/04/27","月","2026/04/27 17:07:05","2026/04/27 18:01:28","2","21540","4","コース","コース","00000000510:麻布しきコース","","10000","2026/04/27 17:07:05","1","20:配膳済","No:202600200000314"
"2026/04/27","月","2026/04/27 17:47:16","2026/04/27 20:48:10","0","22800","4","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/27 17:47:16","1","20:配膳済","No:202600200000315"
"2026/04/27","月","2026/04/27 17:47:16","2026/04/27 20:48:10","0","22800","4","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/27 17:47:16","1","20:配膳済","No:202600200000315"
"2026/04/27","月","2026/04/27 17:47:16","2026/04/27 20:48:10","0","22800","4","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/27 17:47:16","1","20:配膳済","No:202600200000315"
"2026/04/27","月","2026/04/27 17:47:16","2026/04/27 20:48:10","0","22800","4","テイクアウト","出前館","00000002581:Uberうな重梅","","5700","2026/04/27 17:47:16","1","20:配膳済","No:202600200000315"
"2026/04/27","月","2026/04/27 18:16:17","2026/04/27 20:48:19","0","17700","4","テイクアウト","出前館","00000002579:Uberうな重松","","9400","2026/04/27 18:16:17","1","20:配膳済","No:202600200000316"
"2026/04/27","月","2026/04/27 18:16:17","2026/04/27 20:48:19","0","17700","4","テイクアウト","ウーバーイーツ","00000001205:大盛り","","200","2026/04/27 18:16:17","1","20:配膳済","No:202600200000316"
"2026/04/27","月","2026/04/27 18:16:17","2026/04/27 20:48:19","0","17700","4","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","","300","2026/04/27 18:16:17","1","20:配膳済","No:202600200000316"
"2026/04/27","月","2026/04/27 18:16:17","2026/04/27 20:48:19","0","17700","4","テイクアウト","出前館","00000002580:Uberうな重竹","","7800","2026/04/27 18:16:17","1","20:配膳済","No:202600200000316"
"2026/04/27","月","2026/04/27 18:59:04","2026/04/27 20:59:42","3","35220","24","フード","お通し","00000000443:お通し","","700","2026/04/27 18:59:04","1","20:配膳済","No:202600200000317"
"2026/04/27","月","2026/04/27 18:59:04","2026/04/27 20:59:42","3","35220","24","フード","お通し","00000000443:お通し","","700","2026/04/27 18:59:04","1","20:配膳済","No:202600200000317"
