"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202600100000964","2026/05/11","月","2026/05/11 11:35:27","2026/05/11 12:16:50","1","3800","2","フード","一品料理","00000000301:白菜のお新香","","500","1","2026/05/11 11:35:27","20:配膳済"
"No:202600100000964","2026/05/11","月","2026/05/11 11:35:27","2026/05/11 12:16:50","1","3800","2","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","3300","1","2026/05/11 11:35:27","20:配膳済"
"No:202600100000965","2026/05/11","月","2026/05/11 11:36:40","2026/05/11 13:56:16","0","1500","1","ロケットナウ","お弁当","00000003825:ロケットサバの一夜干し弁当","","1500","1","2026/05/11 11:36:40","20:配膳済"
"No:202600100000966","2026/05/11","月","2026/05/11 11:42:57","2026/05/11 11:47:55","1","0","0","","","","","0","1"," ",""
"No:202600100000967","2026/05/11","月","2026/05/11 11:45:21","2026/05/11 11:47:55","2","0","0","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","0","0","2026/05/11 11:45:59","30:キャンセル済"
"No:202600100000967","2026/05/11","月","2026/05/11 11:45:21","2026/05/11 11:47:55","2","0","0","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","0","0","2026/05/11 11:45:59","30:キャンセル済"
"No:202600100000968","2026/05/11","月","2026/05/11 11:42:57","2026/05/11 12:08:07","2","2300","2","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","1200","1","2026/05/11 11:45:59","20:配膳済"
"No:202600100000968","2026/05/11","月","2026/05/11 11:42:57","2026/05/11 12:08:07","2","2300","2","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/05/11 11:45:59","20:配膳済"
"No:202600100000968","2026/05/11","月","2026/05/11 11:42:57","2026/05/11 12:07:56","2","1200","1","ランチ","ランチ","00000004028:しょうが焼き定食","大盛りx1","1200","1","2026/05/11 11:45:59","20:配膳済"
"No:202600100000968","2026/05/11","月","2026/05/11 11:42:57","2026/05/11 12:08:07","2","1100","1","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/05/11 11:45:59","20:配膳済"
"No:202600100000969","2026/05/11","月","2026/05/11 11:53:07","2026/05/11 12:20:12","1","1350","2","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","1","2026/05/11 11:53:07","20:配膳済"
"No:202600100000969","2026/05/11","月","2026/05/11 11:53:07","2026/05/11 12:20:12","1","1350","2","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/05/11 11:53:07","20:配膳済"
"No:202600100000970","2026/05/11","月","2026/05/11 11:53:29","2026/05/11 12:32:35","2","6600","2","ランチ","ランチ","00000002567:うな重 梅 定食","並盛x1","3300","1","2026/05/11 11:53:29","20:配膳済"
"No:202600100000970","2026/05/11","月","2026/05/11 11:53:29","2026/05/11 12:32:35","2","6600","2","ランチ","ランチ","00000002567:うな重 梅 定食","少なめx1","3300","1","2026/05/11 11:53:29","20:配膳済"
"No:202600100000971","2026/05/11","月","2026/05/11 11:55:38","2026/05/11 12:35:55","2","9900","2","ランチ","ランチ","00000002566:うな重 竹 定食","並盛x1","4400","1","2026/05/11 11:55:38","20:配膳済"
"No:202600100000971","2026/05/11","月","2026/05/11 11:55:38","2026/05/11 12:35:55","2","9900","2","ランチ","ランチ","00000002565:うな重 松 定食","大盛りx1","5500","1","2026/05/11 11:55:38","20:配膳済"
"No:202600100000972","2026/05/11","月","2026/05/11 11:58:05","2026/05/11 12:21:57","1","1350","2","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","1","2026/05/11 11:58:05","20:配膳済"
"No:202600100000972","2026/05/11","月","2026/05/11 11:58:05","2026/05/11 12:21:57","1","1350","2","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/05/11 11:58:05","20:配膳済"
"No:202600100000973","2026/05/11","月","2026/05/11 11:58:26","2026/05/11 12:33:55","1","3080","2","ランチ","ランチ","00000003820:鰻玉丼定食","少なめx1","2750","1","2026/05/11 11:58:26","20:配膳済"
"No:202600100000973","2026/05/11","月","2026/05/11 11:58:26","2026/05/11 12:33:55","1","3080","2","ランチ","サイドメニュー","00000004044:サラダ","","330","1","2026/05/11 12:01:42","20:配膳済"
"No:202600100000974","2026/05/11","月","2026/05/11 12:07:21","2026/05/11 12:31:49","1","2750","1","ランチ","ランチ","00000003820:鰻玉丼定食","少なめx1","2750","1","2026/05/11 12:07:21","20:配膳済"
"No:202600100000975","2026/05/11","月","2026/05/11 12:08:18","2026/05/11 12:48:44","2","2400","2","ランチ","ランチ","00000002484:豚しゃぶ定食","並盛x1","1200","1","2026/05/11 12:09:19","20:配膳済"
"No:202600100000975","2026/05/11","月","2026/05/11 12:08:18","2026/05/11 12:48:44","2","2400","2","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/05/11 12:09:19","20:配膳済"
"No:202600100000976","2026/05/11","月","2026/05/11 12:33:13","2026/05/11 14:01:11","1","2750","1","ランチ","ランチ","00000002567:うな重 梅 定食","少なめx1","0","0","2026/05/11 12:33:31","30:キャンセル済"
"No:202600100000976","2026/05/11","月","2026/05/11 12:33:13","2026/05/11 14:01:11","1","2750","1","ランチ","サイドメニュー","00000004044:サラダ","","0","0","2026/05/11 12:33:31","30:キャンセル済"
"No:202600100000976","2026/05/11","月","2026/05/11 12:33:13","2026/05/11 14:01:11","1","2750","1","ランチ","ランチ","00000003820:鰻玉丼定食","並盛x1","2750","1","2026/05/11 12:35:09","20:配膳済"
"No:202600100000977","2026/05/11","月","2026/05/11 12:34:51","2026/05/11 12:56:25","2","2200","2","ランチ","ランチ","00000004027:とり天定食","天つゆx1 / 大盛りx1","1100","1","2026/05/11 12:34:51","20:配膳済"
