"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202600200000494","2026/05/11","月","2026/05/11 11:35:54","2026/05/11 12:14:01","3","17400","6","フード","ランチ","00000001984:ランチうな重","","5500","1","2026/05/11 11:35:54","20:配膳済"
"No:202600200000494","2026/05/11","月","2026/05/11 11:35:54","2026/05/11 12:14:01","3","17400","6","フード","ランチ","00000001984:ランチうな重","","5500","1","2026/05/11 11:35:54","20:配膳済"
"No:202600200000494","2026/05/11","月","2026/05/11 11:35:54","2026/05/11 12:14:01","3","17400","6","フード","ランチ","00000001984:ランチうな重","","5500","1","2026/05/11 11:35:54","20:配膳済"
"No:202600200000494","2026/05/11","月","2026/05/11 11:35:54","2026/05/11 12:14:01","3","17400","6","ランチ","ランチ","00000003803:肝吸い変更","","300","1","2026/05/11 11:35:54","20:配膳済"
"No:202600200000494","2026/05/11","月","2026/05/11 11:35:54","2026/05/11 12:14:01","3","17400","6","ランチ","ランチ","00000003803:肝吸い変更","","300","1","2026/05/11 11:35:54","20:配膳済"
"No:202600200000494","2026/05/11","月","2026/05/11 11:35:54","2026/05/11 12:14:01","3","17400","6","ランチ","ランチ","00000003803:肝吸い変更","","300","1","2026/05/11 11:35:54","20:配膳済"
"No:202600200000495","2026/05/11","月","2026/05/11 11:36:19","2026/05/11 13:25:07","0","15600","2","テイクアウト","出前館","00000002580:Uberうな重竹","","7800","1","2026/05/11 11:36:19","20:配膳済"
"No:202600200000495","2026/05/11","月","2026/05/11 11:36:19","2026/05/11 13:25:07","0","15600","2","テイクアウト","出前館","00000002580:Uberうな重竹","","7800","1","2026/05/11 11:36:19","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","コース","コース","00000003220:ランチ松セット1ドリンク","","5800","1","2026/05/11 12:04:01","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","コース","コース","00000003220:ランチ松セット1ドリンク","","5800","1","2026/05/11 12:04:01","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","コース","コース","00000003220:ランチ松セット1ドリンク","","5800","1","2026/05/11 12:04:01","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","コース","コース","00000003220:ランチ松セット1ドリンク","","5800","1","2026/05/11 12:04:01","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","フード","ランチ","00000003824:肝吸い","","300","1","2026/05/11 12:04:01","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","フード","ランチ","00000003824:肝吸い","","300","1","2026/05/11 12:04:01","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","フード","ランチ","00000003824:肝吸い","","300","1","2026/05/11 12:04:01","20:配膳済"
"No:202600200000496","2026/05/11","月","2026/05/11 12:04:01","2026/05/11 12:56:52","4","24400","8","フード","ランチ","00000003824:肝吸い","","300","1","2026/05/11 12:04:01","20:配膳済"
