2026/06/02 12:43 時点

[補足情報]
1. 伝票金額は、加算・値引をした結果の金額です。

項目名横の記号について(下記参照)
 H.  -->>  伝票ヘッダ情報 
 C.  -->>  お客様情報
 D.  -->>  伝票明細情報

"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"No:202600200000580","2026/05/18","月","2026/05/18 11:32:11","2026/05/18 12:46:05","2","11600","2","コース","コース","00000003220:ランチ松セット1ドリンク","","5800","1","2026/05/18 11:32:11","20:配膳済"
"No:202600200000580","2026/05/18","月","2026/05/18 11:32:11","2026/05/18 12:46:05","2","11600","2","コース","コース","00000003220:ランチ松セット1ドリンク","","5800","1","2026/05/18 11:32:11","20:配膳済"
"No:202600200000581","2026/05/18","月","2026/05/18 12:14:20","2026/05/18 14:27:08","0","15830","4","テイクアウト","出前館","00000002580:Uberうな重竹","","7800","1","2026/05/18 12:14:20","20:配膳済"
"No:202600200000581","2026/05/18","月","2026/05/18 12:14:20","2026/05/18 14:27:08","0","15830","4","テイクアウト","出前館","00000002580:Uberうな重竹","","7800","1","2026/05/18 12:14:20","20:配膳済"
"No:202600200000581","2026/05/18","月","2026/05/18 12:14:20","2026/05/18 14:27:08","0","15830","4","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","","30","1","2026/05/18 12:14:20","20:配膳済"
"No:202600200000581","2026/05/18","月","2026/05/18 12:14:20","2026/05/18 14:27:08","0","15830","4","テイクアウト","ウーバーイーツ","00000001205:大盛り","","200","1","2026/05/18 12:36:56","20:配膳済"
"No:202600200000582","2026/05/18","月","2026/05/18 13:45:29","2026/05/18 14:27:17","0","6300","1","テイクアウト","出前館","00000000515:Uberうな重ハーフ肝焼き入り","","6300","1","2026/05/18 13:45:29","20:配膳済"
"No:202600200000583","2026/05/18","月","2026/05/18 16:17:27","2026/05/18 16:50:50","0","4230","2","テイクアウト","ロケットナウ","00000003719:ロケットナウうな重梅","","4200","1","2026/05/18 16:17:27","20:配膳済"
"No:202600200000583","2026/05/18","月","2026/05/18 16:17:27","2026/05/18 16:50:50","0","4230","2","テイクアウト","ロケットナウ","00000003732:ロケットナウ山椒小袋","","30","1","2026/05/18 16:17:27","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003718:ロケットナウうな重竹","","5800","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003718:ロケットナウうな重竹","","5800","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003726:ロケットナウ鰻のタレ","","300","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003726:ロケットナウ鰻のタレ","","300","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003726:ロケットナウ鰻のタレ","","300","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003726:ロケットナウ鰻のタレ","","300","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003732:ロケットナウ山椒小袋","","30","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003732:ロケットナウ山椒小袋","","30","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003732:ロケットナウ山椒小袋","","30","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003732:ロケットナウ山椒小袋","","30","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003736:ロケットナウタコ唐","","1100","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003742:ロケットナウおしんこ盛り","","770","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003743:ロケットナウほうれん草胡麻和え","","880","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003743:ロケットナウほうれん草胡麻和え","","880","1","2026/05/18 17:00:32","20:配膳済"
"No:202600200000584","2026/05/18","月","2026/05/18 17:00:32","2026/05/18 21:06:20","0","17350","15","テイクアウト","ロケットナウ","00000003752:ロケットナウ骨せんべい","","800","1","2026/05/18 17:00:48","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","お通し","00000000443:お通し","","700","1","2026/05/18 17:05:03","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","お通し","00000000443:お通し","","700","1","2026/05/18 17:05:03","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","お通し","00000000443:お通し","","700","1","2026/05/18 17:05:03","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","お通し","00000000443:お通し","","700","1","2026/05/18 17:05:03","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000429:ボトルセット)氷","","300","1","2026/05/18 17:05:03","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000431:ボトルセット)炭酸","","600","1","2026/05/18 17:05:03","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","一品料理","00000000395:冷やしトマト","","800","1","2026/05/18 17:06:20","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000422:吉四六 ボトル","","6500","1","2026/05/18 17:06:20","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","一品料理","00000000391:エシャレット","","0","0","2026/05/18 17:08:17","30:キャンセル済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","一品料理","00000000394:おしんこ盛","","700","1","2026/05/18 17:08:17","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","一品料理","00000002480:自家製らっきょう","","700","1","2026/05/18 17:29:29","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000431:ボトルセット)炭酸","","600","1","2026/05/18 17:38:46","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000431:ボトルセット)炭酸","","600","1","2026/05/18 17:38:46","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","揚げ物","00000001027:うまから揚げ","","1000","1","2026/05/18 17:39:02","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","揚げ物","00000001029:たこの唐揚げ","","1000","1","2026/05/18 17:39:02","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","焼き物","00000000362:サバの一夜干し","","1200","1","2026/05/18 17:40:56","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","揚げ物","00000000370:大和芋の磯辺揚","","1000","1","2026/05/18 17:40:56","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000429:ボトルセット)氷","","300","1","2026/05/18 17:42:54","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","お刺身","00000002060:馬刺 赤身","","1400","1","2026/05/18 18:13:52","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","お刺身","00000002060:馬刺 赤身","","1400","1","2026/05/18 18:13:52","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","鰻料理","00000000358:う巻","","4500","1","2026/05/18 18:22:55","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","鰻料理","00000003537:骨せんべい","","600","1","2026/05/18 18:27:43","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000431:ボトルセット)炭酸","","600","1","2026/05/18 18:42:43","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000429:ボトルセット)氷","","300","1","2026/05/18 18:45:04","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","鰻料理","00000002578:うな重梅","","4200","1","2026/05/18 18:50:02","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","鰻料理","00000002578:うな重梅","","4200","1","2026/05/18 18:50:02","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","鰻料理","00000002577:うな重竹","","5800","1","2026/05/18 18:50:02","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","鰻料理","00000000637:うなぎ白焼き(ハーフ)","","3600","1","2026/05/18 18:50:02","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","ドリンク","焼酎グラス","00000000430:ボトルセット)水","","300","1","2026/05/18 19:35:24","20:配膳済"
"No:202600200000585","2026/05/18","月","2026/05/18 17:05:03","2026/05/18 20:18:20","4","48980","29","フード","サラダ","00000000385:豆腐サラダ ハーフ","","900","1","2026/05/18 19:41:43","20:配膳済"
"No:202600200000586","2026/05/18","月","2026/05/18 17:20:20","2026/05/18 18:58:10","2","26670","11","フード","お通し","00000000443:お通し","","700","1","2026/05/18 17:20:20","20:配膳済"
"No:202600200000586","2026/05/18","月","2026/05/18 17:20:20","2026/05/18 18:58:10","2","26670","11","フード","お通し","00000000443:お通し","","700","1","2026/05/18 17:20:20","20:配膳済"
"No:202600200000586","2026/05/18","月","2026/05/18 17:20:20","2026/05/18 18:58:10","2","26670","11","フード","揚げ物","00000003610:太刀魚の春巻き","","1000","1","2026/05/18 17:23:59","20:配膳済"
"No:202600200000586","2026/05/18","月","2026/05/18 17:20:20","2026/05/18 18:58:10","2","26670","11","フード","一品料理","00000000387:マグロ山かけ","","1100","1","2026/05/18 17:23:59","20:配膳済"
"No:202600200000586","2026/05/18","月","2026/05/18 17:20:20","2026/05/18 18:58:10","2","26670","11","フード","鰻料理","00000000357:うなぎ白焼き","","6000","1","2026/05/18 17:23:59","20:配膳済"
"No:202600200000586","2026/05/18","月","2026/05/18 17:20:20","2026/05/18 18:58:10","2","26670","11","ドリンク","ソフトドリンク","00000000434:ウーロン茶","","500","1","2026/05/18 17:23:59","20:配膳済"
