取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量,メモ
RB0120260601214848000,2026/06/01,23:38:35,7200,7200,654,0,7200,654,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,01:49:46,"A","橋本",0331A858182D47C9A6A48885EEA24816,"その他","tablecharge",600,2,"海外"
RB0120260601214848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0331A858182D47C9A6A48885EEA24816,"FRUITS COCKTAIL","トロピカルヴェール",1500,2,
RB0120260601214848000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0331A858182D47C9A6A48885EEA24816,"DESSERT COCKTAIL","キャラメルナッツキャデラック",1500,2,
RB0120260601231519000,2026/06/01,23:55:06,6300,6300,572,0,6300,572,0,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,00:39:47,"E","橋本",AFC944F09AAF4810863A587B23D2FEAE,"その他","tablecharge",600,3,"海外"
RB0120260601231519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFC944F09AAF4810863A587B23D2FEAE,"NEW CLASSIC COCKTAIL","森のジントニック",1500,1,
RB0120260601231519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFC944F09AAF4810863A587B23D2FEAE,"NEW CLASSIC COCKTAIL","カルヴァドスモヒート",1500,1,
RB0120260601231519000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AFC944F09AAF4810863A587B23D2FEAE,"FRUITS COCKTAIL","トロピカルヴェール",1500,1,
RB0120260601234049000,2026/06/02,01:34:23,22600,22600,2054,0,22600,2054,0,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,01:53:33,"B, C","橋本",5CE45A9F3A884A558649F75456720431,"その他","tablecharge",600,9,"一般"
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"ビール","ハートランド",1000,1,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"ビール","ガージェリー",1300,1,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"ワイン（グラス）","パナメラ・シャルドネ",1600,2,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"NEW CLASSIC COCKTAIL","サンセットソルティドッグ",1500,1,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"NEW CLASSIC COCKTAIL","オリエンタルアフタヌーン",1500,1,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"FRUITS COCKTAIL","ローズガーデン",1500,2,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"FRUITS COCKTAIL","トロピカルヴェール",1500,1,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"DESSERT COCKTAIL","ティラミスロブロイ",1500,2,
RB0120260601234049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5CE45A9F3A884A558649F75456720431,"STANDARD COCKTAIL","ピーチフィズ",1200,1,
RB0120260602182042000,2026/06/02,21:56:56,91300,83600,8300,0,91300,8300,0,91300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,03:36:14,"A, B, C","橋本",7DC6160C45C44A5C85759FE7306D0109,"その他","tablecharge",600,11,"リピーター"
RB0120260602182042000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7DC6160C45C44A5C85759FE7306D0109,"未設定","CLPコース_7000円飲み放題付（3時間制）",7000,11,
RB0120260602215055000,2026/06/02,23:30:24,2800,2800,254,0,2800,254,3000,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,1,4,01:39:28,"5","橋本",3DA69544940E43DE84F64B2D1AC5DFD9,"未設定","No charge",0,1,"平川友人"
RB0120260602215055000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3DA69544940E43DE84F64B2D1AC5DFD9,"ソフトドリンク","ジンジャーエール",800,1,
RB0120260602215055000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3DA69544940E43DE84F64B2D1AC5DFD9,"ソフトドリンク","オレンジジュース",800,1,
RB0120260602215055000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3DA69544940E43DE84F64B2D1AC5DFD9,"COLD APPETIZERS","ワカモレチップス",1200,1,
RB0120260604193953000,2026/06/04,21:38:44,3900,3900,354,0,3900,354,4000,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,2,4,01:58:51,"D","橋本",868B26B35D184151AFF910F89F6968F4,"その他","tablecharge",600,2,""
RB0120260604193953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868B26B35D184151AFF910F89F6968F4,"ウイスキー（ハイボール・ボトル・オリジナル）","ハウスハイボール",1200,1,
RB0120260604193953000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868B26B35D184151AFF910F89F6968F4,"NEW CLASSIC COCKTAIL","カルヴァドスモヒート",1500,1,
RB0120260604185550000,2026/06/04,22:42:49,16800,16800,1527,0,16800,1527,17000,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,3,6,03:46:59,"C","橋本",331CF69D4D68427182CBAD835AAEC545,"その他","tablecharge",600,3,"一般"
RB0120260604185550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331CF69D4D68427182CBAD835AAEC545,"コース&セット","5000円飲み放題付（2時間制）",5000,3,
RB0120260604224128000,2026/06/04,22:54:36,4400,4400,400,0,4400,400,0,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,00:13:08,"A","橋本",82101C145464479F865D6F298E6E9808,"その他","tablecharge",600,1,"海外"
RB0120260604224128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82101C145464479F865D6F298E6E9808,"JAPANESE COCKTAIL","ゆずマティーニ",1900,1,
RB0120260604224128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82101C145464479F865D6F298E6E9808,"JAPANESE COCKTAIL","桜ブロッサム",1900,1,
RB0120260604224342000,2026/06/04,23:11:34,4600,4600,418,0,4600,418,0,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,00:27:51,"D","橋本",0FB75D56F6B64F1995C10F8E4E2D1180,"その他","tablecharge",600,2,"海外"
RB0120260604224342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FB75D56F6B64F1995C10F8E4E2D1180,"NEW CLASSIC COCKTAIL","サンセットソルティドッグ",1500,1,
RB0120260604224342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0FB75D56F6B64F1995C10F8E4E2D1180,"JAPANESE COCKTAIL","ゆずマティーニ",1900,1,
RB0120260605192809000,2026/06/05,20:11:05,7000,7000,636,0,7000,636,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,00:42:55,"D","橋本",9A8C1B3BD9034924BBBA6621EE3544C5,"その他","tablecharge",600,3,"リピーター"
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"NEW CLASSIC COCKTAIL","森のジントニック",1500,1,
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"NEW CLASSIC COCKTAIL","オーチャードマティーニ",1500,1,
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"NEW CLASSIC COCKTAIL","サンセットソルティドッグ",1500,1,
RB0120260605192809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9A8C1B3BD9034924BBBA6621EE3544C5,"BAR SNACKS ","オリーブ",700,1,
RB0120260605190444000,2026/06/05,20:51:24,16400,16400,1490,0,16400,1490,20500,0,0,0,0,0,0,0,0,0,0,0,0,4100,0,0,0,0,3,17,01:46:40,"A","橋本",4A7493E8CF884C3F98055CC208FBA9ED,"その他","tablecharge",600,3,"リピーター"
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"その他","丸氷",100,6,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー（ハイボール・ボトル・オリジナル）","ハウスハイボール",1200,2,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー","アラン アマローネカスク",1600,2,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー","グレンリベット18年",2600,2,
RB0120260605190444000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4A7493E8CF884C3F98055CC208FBA9ED,"ウイスキー","アードベック 10年",1600,2,
