"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.伝票金額","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.価格","D.オーダー日時","D.数量","D.オーダーステータス"
"No:202600100001469","2026/06/01","月","2026/06/01 11:04:27","2026/06/01 11:25:55","0","6600","6600","2","TO/出前","鰻料理","00000004053:TO)うな重 梅","0","2026/06/01 11:04:27","0","30:キャンセル済"
"No:202600100001469","2026/06/01","月","2026/06/01 11:04:27","2026/06/01 11:25:55","0","6600","6600","2","TO/出前","鰻料理","00000004053:TO)うな重 梅","0","2026/06/01 11:04:27","0","30:キャンセル済"
"No:202600100001469","2026/06/01","月","2026/06/01 11:04:27","2026/06/01 11:25:55","0","6600","6600","2","TO/出前","鰻料理","00000003666:TO)ランチうな重梅","3300","2026/06/01 11:06:06","1","20:配膳済"
"No:202600100001469","2026/06/01","月","2026/06/01 11:04:27","2026/06/01 11:25:55","0","6600","6600","2","TO/出前","鰻料理","00000003666:TO)ランチうな重梅","3300","2026/06/01 11:06:06","1","20:配膳済"
"No:202600100001470","2026/06/01","月","2026/06/01 11:32:17","2026/06/01 11:48:02","2","2300","2100","2","ランチ","ランチ","00000004027:とり天定食","1100","2026/06/01 11:33:07","1","20:配膳済"
"No:202600100001470","2026/06/01","月","2026/06/01 11:32:17","2026/06/01 11:48:02","2","2300","2100","2","ランチ","ランチ","00000002484:豚しゃぶ定食","1200","2026/06/01 11:33:07","1","20:配膳済"
"No:202600100001471","2026/06/01","月","2026/06/01 11:35:04","2026/06/01 14:04:56","0","1500","1500","1","ロケットナウ","お弁当","00000003825:ロケットサバの一夜干し弁当","1500","2026/06/01 11:35:04","1","20:配膳済"
"No:202600100001472","2026/06/01","月","2026/06/01 11:41:39","2026/06/01 14:05:03","0","1200","1200","1","ロケットナウ","お弁当","00000003686:ロケット生姜焼き弁当","1200","2026/06/01 11:41:39","1","20:配膳済"
"No:202600100001473","2026/06/01","月","2026/06/01 11:43:52","2026/06/01 12:29:20","1","7720","7720","5","ランチ","ランチ","00000002566:うな重 竹 定食","4400","2026/06/01 11:43:52","1","20:配膳済"
"No:202600100001473","2026/06/01","月","2026/06/01 11:43:52","2026/06/01 12:29:20","1","7720","7720","5","ランチ","ランチ単品","00000004040:ランチ肝吸いへ変更","220","2026/06/01 11:43:52","1","20:配膳済"
"No:202600100001473","2026/06/01","月","2026/06/01 11:43:52","2026/06/01 12:29:20","1","7720","7720","5","フード","お刺身","00000001072:お刺身盛合せ","1320","2026/06/01 11:43:52","1","20:配膳済"
"No:202600100001473","2026/06/01","月","2026/06/01 11:43:52","2026/06/01 12:29:20","1","7720","7720","5","ドリンク","ビール","00000000013:黒ラベル 瓶","900","2026/06/01 11:44:04","1","20:配膳済"
"No:202600100001473","2026/06/01","月","2026/06/01 11:43:52","2026/06/01 12:29:20","1","7720","7720","5","ドリンク","日本酒","00000000109:八海山","880","2026/06/01 11:59:27","1","20:配膳済"
"No:202600100001474","2026/06/01","月","2026/06/01 11:50:12","2026/06/01 12:07:17","4","5300","5300","4","ランチ","ランチ","00000004028:しょうが焼き定食","1200","2026/06/01 11:50:12","1","20:配膳済"
"No:202600100001474","2026/06/01","月","2026/06/01 11:50:12","2026/06/01 12:07:17","4","5300","5300","4","ランチ","ランチ","00000004030:お刺身定食","1800","2026/06/01 11:50:12","1","20:配膳済"
"No:202600100001474","2026/06/01","月","2026/06/01 11:50:12","2026/06/01 12:07:17","4","5300","5300","4","ランチ","ランチ","00000004027:とり天定食","1100","2026/06/01 11:50:12","1","20:配膳済"
