"store_code","store_name","account_id","entry_at","exit_at","day_of_week","account_total","customer_count","item_count","has_reservation","is_course","menu_name","price","quantity","subtotal","category1","ordered_at","cost_rate"
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","梅水晶",528.00,1,528.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","お通し",330.00,3,990.00,"お通し",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","お通し",330.00,2,660.00,"お通し",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","豚しそ巻き",286.00,3,858.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","豆苗しゃぶ串",308.00,2,616.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","シャカシャカポテト",638.00,1,638.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","ピーチリキュール",660.00,1,660.00,"カクテル",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","ライチ",660.00,1,660.00,"カクテル",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","焼きおにぎり",418.00,1,418.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","かめバニラ",308.00,1,308.00,"デザート",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","かめシリーズ",418.00,2,836.00,"デザート",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","かめシリーズ",418.00,1,418.00,"デザート",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","えのき肉巻き",308.00,1,308.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","アスパラ肉巻き",330.00,3,990.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","えびしそチーズおろしポン酢",365.00,1,365.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","生ビール",660.00,3,1980.00,"ビール",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","角ハイボール",900.00,2,1800.00,"アルコール",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","角ハイボール",660.00,1,660.00,"アルコール",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","こだわり酒場のレモンサワー",550.00,1,550.00,"サワー",,
"kp-001","かめや駅前","HD0020260215211106988","2026-02-15 14:56:55+00","2026-02-15 14:56:55+00","日",15123.00,5,20,"f","f","カルピス",440.00,2,880.00,"ソフトドリンク",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","椎茸肉巻き",308.00,2,616.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","万能ネギのしゃぶ串",330.00,2,660.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","揚げ餃子",550.00,1,550.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","ピリ辛メンマ",528.00,1,528.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","かめやハイボール",605.00,2,1210.00,"アルコール",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","角ハイボール",660.00,3,1980.00,"アルコール",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","生ビール",660.00,2,1320.00,"ビール",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","アスパラ肉巻き",330.00,2,660.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","黒チーズ",330.00,1,330.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","のりチーズ",330.00,1,330.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","ししゃも",550.00,1,550.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","かめバニラ",308.00,1,308.00,"デザート",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","かめシリーズ",418.00,1,418.00,"デザート",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","かめシリーズ",418.00,1,418.00,"デザート",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","豚しそ巻き",286.00,2,572.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","お通し",330.00,3,990.00,"お通し",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","記憶に残るポテトサラダ",748.00,1,748.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","梅水晶",528.00,1,528.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","枝豆",418.00,1,418.00,"単品料理",,
"kp-001","かめや駅前","HD0020260215204938980","2026-02-15 14:02:56+00","2026-02-15 14:02:56+00","日",15114.00,3,20,"f","f","ウーロンハイ",495.00,4,1980.00,"アルコール",,
"kp-001","かめや駅前","HD0020260215203726777","2026-02-15 13:49:27+00","2026-02-15 13:49:27+00","日",4840.00,2,6,"f","f","万能ネギのしゃぶ串",330.00,1,330.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215203726777","2026-02-15 13:49:27+00","2026-02-15 13:49:27+00","日",4840.00,2,6,"f","f","大那【ましだやコレクション】",1430.00,2,2860.00,"日本酒",,
"kp-001","かめや駅前","HD0020260215203726777","2026-02-15 13:49:27+00","2026-02-15 13:49:27+00","日",4840.00,2,6,"f","f","お冷",0.00,2,0.00,"ソフトドリンク",,
"kp-001","かめや駅前","HD0020260215203726777","2026-02-15 13:49:27+00","2026-02-15 13:49:27+00","日",4840.00,2,6,"f","f","かめやハイボール",660.00,1,660.00,"アルコール",,
"kp-001","かめや駅前","HD0020260215203726777","2026-02-15 13:49:27+00","2026-02-15 13:49:27+00","日",4840.00,2,6,"f","f","お通し",330.00,2,660.00,"お通し",,
"kp-001","かめや駅前","HD0020260215203726777","2026-02-15 13:49:27+00","2026-02-15 13:49:27+00","日",4840.00,2,6,"f","f","アスパラ肉巻き",330.00,1,330.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215200622424","2026-02-15 13:00:15+00","2026-02-15 13:00:15+00","日",8281.00,2,14,"f","f","豚しそ巻き",286.00,2,572.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215200622424","2026-02-15 13:00:15+00","2026-02-15 13:00:15+00","日",8281.00,2,14,"f","f","のりチーズ",330.00,2,660.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215200622424","2026-02-15 13:00:15+00","2026-02-15 13:00:15+00","日",8281.00,2,14,"f","f","アスパラ肉巻き",330.00,2,660.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215200622424","2026-02-15 13:00:15+00","2026-02-15 13:00:15+00","日",8281.00,2,14,"f","f","椎茸肉巻き",308.00,1,308.00,"串焼き",,
"kp-001","かめや駅前","HD0020260215200622424","2026-02-15 13:00:15+00","2026-02-15 13:00:15+00","日",8281.00,2,14,"f","f","えびしそチーズおろしポン酢",365.00,1,365.00,"串焼き",,
