"store_code","store_name","account_id","entry_at","exit_at","day_of_week","account_total","customer_count","item_count","has_reservation","is_course","menu_name","price","quantity","subtotal","category1","ordered_at","cost_rate"
"shiki-001","麻布しき","No:202500100007267","2026-02-16 11:43:35","2026-02-16 12:07:36","月","1100","1","1","f","f","とり天定食","1100","1","1100","ランチ","2026-02-16 11:43:35",""
"shiki-001","麻布しき","No:202500100007268","2026-02-16 11:45:10","2026-02-16 14:34:14","月","3430","0","1","f","f","梅肝重30％オフ","3430","1","3430","ウーバーイーツ","2026-02-16 11:45:10",""
"shiki-001","麻布しき","No:202500100007270","2026-02-16 11:50:43","2026-02-16 12:02:07","月","1200","1","1","f","f","豚しゃぶ定食","1200","1","1200","ランチ","2026-02-16 11:50:43",""
"shiki-001","麻布しき","No:202500100007269","2026-02-16 11:52:13","2026-02-16 12:19:24","月","1350","1","2","f","f","サバ定食","1200","1","1200","ランチ","2026-02-16 11:52:13",""
"shiki-001","麻布しき","No:202500100007269","2026-02-16 11:52:13","2026-02-16 12:19:24","月","1350","1","2","f","f","納豆","150","1","150","ランチ","2026-02-16 11:52:13",""
"shiki-001","麻布しき","No:202500100007271","2026-02-16 11:53:35","2026-02-16 12:20:45","月","1800","1","1","f","f","カキフライ定食","1800","1","1800","ランチ","2026-02-16 11:53:35",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","ランチ麻布しきコース","7000","1","7000","コース","2026-02-16 12:06:29",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","ランチ麻布しきコース","7000","1","7000","コース","2026-02-16 12:06:29",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","ランチ麻布しきコース","7000","1","7000","コース","2026-02-16 12:06:29",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","黒ラベル 瓶","900","1","900","ドリンク","2026-02-16 12:16:38",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","黒ラベル 瓶","900","1","900","ドリンク","2026-02-16 12:21:57",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","ヒレ酒","1100","1","1100","ドリンク","2026-02-16 12:21:57",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","ヒレ酒","1100","1","1100","ドリンク","2026-02-16 12:21:57",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","黒ラベル 瓶","900","1","900","ドリンク","2026-02-16 12:45:45",""
"shiki-001","麻布しき","No:202500100007273","2026-02-16 12:06:29","2026-02-16 14:08:15","月","28010","3","10","f","t","奥","1210","1","1210","ドリンク","2026-02-16 14:03:55",""
