year_week,category1,subtotal,quantity,構成比
2026-W01,日本酒,9300.0,5,30.96903096903097
2026-W01,ビール・ノンアルコール,5650.0,7,18.814518814518816
2026-W01,前菜・一品,4700.0,2,15.651015651015651
2026-W01,飯物・〆,2790.0,3,9.290709290709291
2026-W01,プレミア限定酒（日本酒）,2500.0,1,8.325008325008325
2026-W01,サワー,1640.0,2,5.461205461205462
2026-W01,ウィスキー・ジン・リキュール,1500.0,2,4.9950049950049955
2026-W01,温菜・揚げ物,1400.0,1,4.662004662004662
2026-W01,ソフトドリンク,550.0,1,1.8315018315018317
2026-W01,しゃぶしゃぶセット,0.0,4,0.0
2026-W01,別天地コース,0.0,100,0.0
2026-W01,松・飲み放題（コース内）,0.0,9,0.0
