week,category1,subtotal,quantity,構成比
2026-W01,日本酒,9300.0,5,30.96903096903097
2026-W01,ビール・ノンアルコール,5650.0,7,18.814518814518816
2026-W01,前菜・一品,4700.0,2,15.651015651015651
2026-W01,飯物・〆,2790.0,3,9.290709290709291
2026-W01,プレミア限定酒（日本酒）,2500.0,1,8.325008325008325
2026-W01,サワー,1640.0,2,5.461205461205462
2026-W01,ウィスキー・ジン・リキュール,1500.0,2,4.9950049950049955
2026-W01,温菜・揚げ物,1400.0,1,4.662004662004662
2026-W01,ソフトドリンク,550.0,1,1.8315018315018317
2026-W01,しゃぶしゃぶセット,0.0,4,0.0
2026-W01,別天地コース,0.0,100,0.0
2026-W01,松・飲み放題（コース内）,0.0,9,0.0
2026-W02,しゃぶしゃぶ,178200.0,46,41.905747342677074
2026-W02,ビール・ノンアルコール,55560.0,64,13.065562976201676
2026-W02,前菜・一品,43680.0,36,10.271846486689869
2026-W02,ウィスキー・ジン・リキュール,24120.0,32,5.672091054463362
2026-W02,温菜・揚げ物,21360.0,20,5.023045809425266
2026-W02,ソフトドリンク,18800.0,34,4.4210328285203655
2026-W02,飯物・〆,16560.0,18,3.894271470228577
2026-W02,サワー,14760.0,18,3.4709810930298186
2026-W02,果実酒,13380.0,14,3.1464584705107703
2026-W02,ワイン,12000.0,8,2.8219358479917225
2026-W02,焼酎,11400.0,14,2.6808390555921364
2026-W02,プレミア限定酒（日本酒）,11100.0,6,2.610290659392343
2026-W02,お茶割り,2960.0,4,0.6960775091712915
2026-W02,日本酒,1360.0,2,0.3198193961057285
2026-W02,しゃぶしゃぶセット,0.0,16,0.0
2026-W02,サービス,0.0,10,0.0
2026-W02,別天地コース,0.0,906,0.0
2026-W02,松・飲み放題（コース内）,0.0,282,0.0
2026-W03,しゃぶしゃぶ,240600.0,56,26.726800115527315
2026-W03,前菜・一品,183200.0,102,20.350580969096445
2026-W03,ウィスキー・ジン・リキュール,122500.0,84,13.607784763724423
2026-W03,ビール・ノンアルコール,67800.0,84,7.531492301881762
2026-W03,日本酒,64640.0,40,7.1804669969563
2026-W03,飯物・〆,49140.0,42,5.458665659505455
2026-W03,温菜・揚げ物,45320.0,36,5.034324942791762
2026-W03,ソフトドリンク,38540.0,64,4.281175712603586
2026-W03,プレミア限定酒（日本酒）,32500.0,18,3.6102286107840302
2026-W03,サワー,26600.0,32,2.95483326298016
2026-W03,お茶割り,16620.0,22,1.8462153695763257
2026-W03,ワイン,7560.0,4,0.839794716846993
2026-W03,焼酎,3500.0,4,0.3887938503921264
2026-W03,果実酒,1700.0,2,0.18884272733331853
2026-W03,しゃぶしゃぶセット,0.0,36,0.0
2026-W03,サービス,0.0,6,0.0
2026-W03,別天地コース,0.0,548,0.0
2026-W03,松・飲み放題（コース内）,0.0,110,0.0
2026-W04,温菜・揚げ物,153480.0,62,29.369665888476405
2026-W04,日本酒,89360.0,68,17.099774197252096
2026-W04,しゃぶしゃぶ,70200.0,18,13.433349917715947
2026-W04,ビール・ノンアルコール,68500.0,86,13.108040874124535
2026-W04,前菜・一品,54540.0,32,10.436679551456237
2026-W04,ウィスキー・ジン・リキュール,16900.0,16,3.233954609820506
2026-W04,プレミア限定酒（日本酒）,16000.0,6,3.061732174977994
2026-W04,ソフトドリンク,15380.0,28,2.9430900531975968
2026-W04,ワイン,9000.0,6,1.7222243484251214
2026-W04,焼酎,9000.0,10,1.7222243484251214
2026-W04,サワー,8200.0,10,1.569137739676222
2026-W04,飯物・〆,7920.0,8,1.515557426614107
2026-W04,お茶割り,4100.0,4,0.784568869838111
2026-W04,しゃぶしゃぶセット,0.0,28,0.0
2026-W04,サービス,0.0,12,0.0
2026-W04,別天地コース,0.0,1492,0.0
2026-W04,松・飲み放題（コース内）,0.0,230,0.0
2026-W05,しゃぶしゃぶ,126000.0,30,24.67588421918452
2026-W05,ビール・ノンアルコール,63500.0,80,12.435862285065214
2026-W05,前菜・一品,63060.0,48,12.349692530649016
2026-W05,温菜・揚げ物,62940.0,38,12.326191688535506
2026-W05,日本酒,39040.0,14,7.645607300928284
2026-W05,ウィスキー・ジン・リキュール,36140.0,44,7.077670283185148
2026-W05,飯物・〆,34780.0,24,6.8113274058987106
2026-W05,ソフトドリンク,27480.0,48,5.3816928439935765
2026-W05,プレミア限定酒（日本酒）,19200.0,6,3.760134738161451
2026-W05,ワイン,19120.0,14,3.7444675100857783
2026-W05,サワー,10320.0,12,2.02107242176178
2026-W05,果実酒,5840.0,6,1.143707649524108
2026-W05,お茶割り,3200.0,4,0.6266891230269084
2026-W05,しゃぶしゃぶセット,0.0,18,0.0
2026-W05,サービス,0.0,24,0.0
2026-W05,別天地コース,0.0,1396,0.0
