year_week,menu_name,subtotal,quantity,構成比
2026-W08,和牛のしゃぶしゃぶ（一人前）,59160,17,28.391803042664492
2026-W08,鮮魚五点盛り（二人前）,15680,8,7.525075586696742
2026-W08,追加　和牛（一人前　1/2枚×２）,15000,6,7.1987330229879545
2026-W08,アサヒスーパードライ（生ビール）,12000,16,5.758986418390363
2026-W08,和牛ユッケねぎまみれ,9520,4,4.568795891923021
2026-W08,酒の肴三種盛り,8900,5,4.271248260306186
2026-W08,（２合）AKABU　岩手県　純米吟醸　フルーティー,7200,2,3.4553918510342183
2026-W08,角,6750,9,3.2394298603445795
2026-W08,からすみ蕎麦しゃぶ（しゃぶしゃぶ注文限定）,6300,7,3.0234678696549406
2026-W08,鶏の唐揚げ,4900,5,2.3515861208427316
2026-W08,和牛ポテサラ,3920,4,1.8812688966741855
2026-W08,山崎,3600,2,1.7276959255171092
2026-W08,季節のサラダ,3240,3,1.554926332965398
2026-W08,かんぱち,2960,2,1.4205499832029562
2026-W08,中とろ,2760,2,1.3245668762297835
2026-W08,海鮮玉手箱（二人前）,2760,1,1.3245668762297835
2026-W08,コカ・コーラ　瓶,2750,5,1.319767720881125
2026-W08,（２合）楽器正宗　福島県　特別本醸造　華やかクリア,2720,1,1.305370254835149
2026-W08,（１合）大那　栃木県　超辛口純米　キレとスムース,2520,2,1.2093871478619762
2026-W08,（２合）大那　栃木県　超辛口純米　キレとスムース,2520,1,1.2093871478619762
2026-W08,（１合）飛露喜　福島県　かすみざけ,2500,1,1.199788837164659
2026-W08,ハートランド 中瓶,2400,2,1.1517972836780725
2026-W08,溢れ和風ポテト,2100,3,1.0078226232183136
2026-W08,燻製うずらのたまご,1890,3,0.9070403608964822
2026-W08,（１合）山形正宗1898　山形県　雄町米シャープ,1800,1,0.8638479627585546
2026-W08,（１合）勝山戦勝正宗　宮城県　特別純米　濃い透明感,1700,1,0.8158564092719681
2026-W08,（グラス）五凛　石川県　純米火入　軽やか豊かな味,1700,2,0.8158564092719681
2026-W08,完熟もも酒　鳳凰美田,1700,2,0.8158564092719681
2026-W08,別天地瀬戸内レモンサワー,1640,2,0.7870614771800164
2026-W08,（１合）紀土　和歌山県　純米大吟醸　柔らか吟醸香,1400,1,0.6718817488122091
2026-W08,（１合）楽器正宗　福島県　特別本醸造　華やかクリア,1360,1,0.6526851274175745
2026-W08,たたき胡瓜,1360,2,0.6526851274175745
2026-W08,（１合）賀茂金秀　広島県　特別純米　爽やかシャープ,1340,1,0.6430868167202572
2026-W08,茉莉花（お茶酒） ×ジャスミン茶,1300,2,0.6238901953256227
2026-W08,蛸,1280,1,0.6142918846283054
2026-W08,サーモン,1180,1,0.5663003311417191
2026-W08,赤星（サッポロラガー） 中瓶,1150,1,0.5519028650957432
2026-W08,チルグリーン/スパイシー＆シトラス　トニック割り,850,1,0.40792820463598406
2026-W08,別天地シークワーサーサワー,820,1,0.3935307385900082
2026-W08,（グラス）紀土　和歌山県　純米大吟醸　柔らか吟醸香,750,1,0.3599366511493977
2026-W08,鶏皮ポン酢,730,1,0.35033834045208045
2026-W08,とうもろこしひげ茶,630,1,0.30234678696549405
2026-W08,蛸山葵漬け,580,1,0.2783510102222009
2026-W08,コカ・コーラジュガーゼロ　瓶,550,1,0.26395354417622496
2026-W08,辛口　ウィルキンソンジンジャーエール瓶,500,1,0.2399577674329318
2026-W08,2H　黒毛すき焼き 6480,0,18,0.0
2026-W08,お冷,0,11,0.0
2026-W08,★黒豚冷しゃぶサラダ,0,75,0.0
2026-W08,★黒毛和牛のステーキ,0,12,0.0
2026-W08,★黒毛和牛すき焼き,0,35,0.0
2026-W08,★黒毛和牛しゃぶしゃぶ,0,10,0.0
2026-W08,★鮮魚五種盛り,0,17,0.0
2026-W08,★鮮魚三種盛り,0,58,0.0
2026-W08,2H　黒毛しゃぶしゃぶ 6480,0,3,0.0
2026-W08,★飲放★　（酒！）黒烏龍茶割り,0,4,0.0
2026-W08,★飲放★　（酒！）無糖紅茶割り,0,1,0.0
2026-W08,★放題★（２合）紀土　和歌山県　純米大吟醸　柔らか吟醸香,0,8,0.0
2026-W08,★放題★（２合）楽器正宗　福島県　特別本醸造　華やかクリア,0,7,0.0
2026-W08,★放題★（２合）大那　栃木県　超辛口純米　キレとスムース,0,6,0.0
2026-W08,★放題★（２合）勝山戦勝正宗　宮城県　特別純米　濃い透明感,0,7,0.0
2026-W08,★放題★【麦】泰明 大分県 25度,0,4,0.0
2026-W08,★放題★【麦】ふんわり涼やか特蒸泰明　大分県　19度,0,6,0.0
2026-W08,★抹茶わらび餅黒蜜かけ,0,17,0.0
2026-W08,★和牛と雲丹の贅沢最中,0,58,0.0
2026-W08,★北あかりと帆立バター焼き,0,75,0.0
2026-W08,★別天地の鮪巻き,0,12,0.0
2026-W08,★別天地ざる蕎麦,0,13,0.0
2026-W08,★カラスミ余香蕎麦,0,10,0.0
2026-W08,★アボカドと桜海老の昆布和え,0,62,0.0
2026-W08,★〆の雲丹雑炊,0,5,0.0
2026-W08,★〆のうどん,0,35,0.0
2026-W08,Google口コミ　和牛ポテサラ,0,6,0.0
2026-W08,Google口コミ　たこわさ,0,2,0.0
2026-W08,3H　黒毛ステーキ 7980,0,7,0.0
2026-W08,3H　黒毛すき焼き 6480,0,13,0.0
2026-W08,3H　黒毛しゃぶしゃぶ 6480,0,7,0.0
2026-W08,3H　鮪ほほステーキ 5480,0,13,0.0
2026-W08,3H　海老蟹しゃぶしゃぶ 7980,0,5,0.0
2026-W08,2H　黒毛ステーキ 7980,0,5,0.0
2026-W08,★放題★（２合）賀茂金秀　広島県　特別純米　爽やかシャープ,0,6,0.0
2026-W08,★河豚（フグ）の唐揚げ,0,75,0.0
2026-W08,★海老蟹しゃぶしゃぶ,0,5,0.0
2026-W08,★飲放★　完熟もも酒　鳳凰美田,0,7,0.0
2026-W08,★飲放★　（酒！）濃い緑茶割り,0,6,0.0
2026-W08,★飲放★　（酒！）ジャスミン茶割り,0,8,0.0
2026-W08,★飲放★　（酒！）とうもろこしひげ茶割り,0,3,0.0
2026-W08,★飲放★　黒烏龍茶,0,11,0.0
2026-W08,★飲放★　角ハイボール,0,55,0.0
2026-W08,★飲放★　茉莉花×ジャスミン,0,4,0.0
2026-W08,★飲放★　知覧にっぽん紅茶（加糖）,0,3,0.0
2026-W08,★飲放★　炭酸水,0,2,0.0
2026-W08,★飲放★　桜島みかんジンハイ,0,5,0.0
2026-W08,★飲放★　日置ハイボール,0,7,0.0
2026-W08,★飲放★　加賀棒ほうじ茶,0,3,0.0
2026-W08,★海鮮玉手箱,0,17,0.0
2026-W08,★飲放★　フロンティアハイボール,0,14,0.0
2026-W08,★飲放★　スパイシー＆シトラスハイボール,0,3,0.0
2026-W08,★飲放★　ジンジャーエール,0,2,0.0
2026-W08,★飲放★　ジャスミン茶,0,3,0.0
2026-W08,★飲放★　ゆず胡椒ハイボール,0,3,0.0
2026-W08,★飲放★　とうもろこしひげ茶,0,11,0.0
2026-W08,★飲放★　うぐいすとまり 鶯とろ,0,14,0.0
2026-W08,★飲放★　ROKUジンハイ,0,9,0.0
2026-W08,★飲放★　Maker's Markハイボール,0,14,0.0
2026-W08,★蛤大根（はまぐりだいこん）,0,75,0.0
2026-W08,★鮪ほほ肉ステーキ,0,13,0.0
