year_week,売上,客数,組数,客単価
2025-W48,198450,19,6,10444.736842105263
2025-W49,171360,17,6,10080.0
2025-W50,1074150,105,20,10230.0
2025-W51,1891050,191,43,9900.785340314136
2025-W52,1516370,158,54,9597.278481012658
2026-W01,120350,12,5,10029.166666666666
2026-W02,619620,70,22,8851.714285714286
2026-W03,720750,80,31,9009.375
2026-W04,953210,89,14,10710.224719101123
2026-W05,880430,89,25,9892.47191011236
2026-W07,595960,62,21,9612.258064516129
2026-W08,685450,102,37,6720.098039215686
2026-W09,618130,81,25,7631.234567901234
