期間,曜日,パーティサイズ,会計数,会計数構成比,人数,人数構成比,売上,売上構成比
前週,土,1名,3,25.0,3,12.0,59250.0,32.925812725757154
前週,土,2名,6,50.0,12,48.0,75800.0,42.122811892192274
前週,土,3-4名,3,25.0,10,40.0,44900.0,24.95137538205057
前週,日,1名,1,20.0,1,3.8461538461538463,4400.0,4.170616113744076
前週,日,2名,2,40.0,4,15.384615384615385,20500.0,19.431279620853083
前週,日,5名以上,2,40.0,21,80.76923076923077,80600.0,76.39810426540285
前週,月,1名,1,7.6923076923076925,1,2.7027027027027026,-29200.0,-19.505678022712093
前週,月,2名,8,61.53846153846154,16,43.24324324324324,78400.0,52.37140948563794
前週,月,3-4名,2,15.384615384615385,8,21.62162162162162,48100.0,32.1309285237141
前週,月,5名以上,2,15.384615384615385,12,32.432432432432435,52400.0,35.00334001336005
前週,木,1名,2,50.0,2,9.090909090909092,107200.0,63.961813842482094
前週,木,2名,1,25.0,2,9.090909090909092,4400.0,2.6252983293556085
前週,木,5名以上,1,25.0,18,81.81818181818183,56000.0,33.41288782816229
前週,水,1名,5,35.714285714285715,5,20.833333333333336,-16300.0,-15.523809523809524
前週,水,2名,5,35.714285714285715,10,41.66666666666667,50100.0,47.714285714285715
前週,水,3-4名,3,21.428571428571427,9,37.5,60600.0,57.714285714285715
前週,水,5名以上,1,7.142857142857142,0,0.0,10600.0,10.095238095238095
前週,火,1名,1,11.11111111111111,1,4.3478260869565215,1300.0,1.2322274881516588
前週,火,2名,5,55.55555555555556,10,43.47826086956522,45400.0,43.03317535545024
前週,火,3-4名,3,33.33333333333333,12,52.17391304347826,58800.0,55.7345971563981
前週,金,2名,10,76.92307692307693,20,34.48275862068966,79300.0,22.250280583613915
前週,金,3-4名,1,7.6923076923076925,4,6.896551724137931,35800.0,10.044893378226712
前週,金,5名以上,2,15.384615384615385,34,58.620689655172406,241300.0,67.70482603815937
対象週,土,1名,2,20.0,2,5.0,11200.0,5.0405040504050405
対象週,土,2名,3,30.0,6,15.0,26000.0,11.701170117011701
対象週,土,3-4名,1,10.0,4,10.0,53000.0,23.85238523852385
対象週,土,5名以上,4,40.0,28,70.0,132000.0,59.4059405940594
対象週,日,2名,3,42.857142857142854,6,37.5,29400.0,37.121212121212125
対象週,日,3-4名,1,14.285714285714285,4,25.0,11900.0,15.025252525252524
対象週,日,5名以上,3,42.857142857142854,6,37.5,37900.0,47.85353535353536
対象週,月,1名,1,12.5,1,4.166666666666666,2200.0,2.3655913978494625
対象週,月,2名,3,37.5,6,25.0,36700.0,39.462365591397855
対象週,月,3-4名,3,37.5,10,41.66666666666667,39200.0,42.1505376344086
対象週,月,5名以上,1,12.5,7,29.166666666666668,14900.0,16.021505376344088
対象週,木,1名,2,20.0,2,9.523809523809524,37500.0,24.68729427254773
対象週,木,2名,6,60.0,12,57.14285714285714,78500.0,51.67873601053324
対象週,木,3-4名,2,20.0,7,33.33333333333333,35900.0,23.633969716919026
対象週,火,1名,1,14.285714285714285,1,5.88235294117647,3200.0,4.26098535286285
対象週,火,2名,4,57.14285714285714,8,47.05882352941176,45000.0,59.92010652463382
対象週,火,3-4名,2,28.57142857142857,8,47.05882352941176,26900.0,35.81890812250333
対象週,金,2名,7,63.63636363636363,14,46.666666666666664,66000.0,33.82880574064583
対象週,金,3-4名,2,18.181818181818183,6,20.0,26400.0,13.53152229625833
対象週,金,5名以上,2,18.181818181818183,10,33.33333333333333,102700.0,52.63967196309585
