期間,曜日,総売上,総数量,高単価売上,高単価数量,高単価売上比率,高単価数量比率,カテゴリ数,TOP3カテゴリ
前週,水,105000.0,104,96400.0,36,91.80952380952381,34.61538461538461,16,"未設定, ジャパニーズカクテル, アラカルト"
前週,火,105500.0,78,79500.0,39,75.35545023696683,50.0,14,"ジャパニーズカクテル, ウイスキー（ハイボール・ボトル・オリジナル）, コース&セット"
前週,月,149700.0,150,95100.0,33,63.52705410821643,22.0,15,"未設定, コース&セット, ビール"
前週,日,105500.0,53,98200.0,35,93.08056872037915,66.0377358490566,9,"コース&セット, ジャパニーズカクテル, その他"
前週,土,179950.0,112,140000.0,58,77.79938871908864,51.78571428571429,18,"未設定, ウイスキー, ジャパニーズカクテル"
前週,金,356400.0,141,289900.0,64,81.34118967452301,45.39007092198582,15,"未設定, ウイスキー, ウイスキー（ハイボール・ボトル・オリジナル）"
前週,木,167600.0,28,166600.0,26,99.40334128878283,92.85714285714286,5,"未設定, ジャパニーズウイスキー, ジン"
対象週,火,75100.0,62,50700.0,29,67.50998668442078,46.774193548387096,12,"ジャパニーズカクテル, オリジナルカクテル, その他"
対象週,月,93000.0,73,73900.0,42,79.46236559139786,57.534246575342465,11,"オリジナルカクテル, ジャパニーズカクテル, その他"
対象週,日,79200.0,69,42200.0,24,53.28282828282829,34.78260869565217,14,"ジャパニーズカクテル, ウイスキー, ウイスキー（ハイボール・ボトル・オリジナル）"
対象週,土,222200.0,167,162200.0,72,72.997299729973,43.11377245508982,19,"コース&セット, ウイスキー, カクテル"
対象週,金,195100.0,109,152100.0,60,77.9600205023065,55.04587155963303,16,"コース&セット, ジャパニーズカクテル, ワイン"
対象週,木,151900.0,97,117800.0,53,77.55102040816327,54.63917525773196,18,"ジャパニーズウイスキー, ワイン, ご飯もの"
