期間,曜日,時間帯,会計数,会計数構成比,人数,人数構成比,売上,売上構成比
前週,土,20-21時,4,33.33333333333333,10,40.0,47600.0,26.451792164490133
前週,土,22-23時,5,41.66666666666667,9,36.0,54900.0,30.508474576271187
前週,土,24-25時,2,16.666666666666664,5,20.0,28800.0,16.004445679355374
前週,土,その他,1,8.333333333333332,1,4.0,48650.0,27.0352875798833
前週,日,18-19時,2,40.0,23,88.46153846153845,81400.0,77.1563981042654
前週,日,22-23時,2,40.0,3,11.538461538461538,17000.0,16.113744075829384
前週,日,25-26時,1,20.0,0,0.0,7100.0,6.729857819905213
前週,月,18-19時,1,7.6923076923076925,2,5.405405405405405,3500.0,2.338009352037408
前週,月,20-21時,5,38.46153846153847,15,40.54054054054054,70100.0,46.82698730794923
前週,月,22-23時,7,53.84615384615385,20,54.054054054054056,76100.0,50.835003340013365
前週,木,20-21時,3,75.0,20,90.9090909090909,163200.0,97.3747016706444
前週,木,22-23時,1,25.0,2,9.090909090909092,4400.0,2.6252983293556085
前週,水,20-21時,6,42.857142857142854,11,45.83333333333333,32000.0,30.476190476190478
前週,水,22-23時,8,57.14285714285714,13,54.166666666666664,73000.0,69.52380952380952
前週,火,20-21時,3,33.33333333333333,6,26.08695652173913,33400.0,31.658767772511847
前週,火,22-23時,3,33.33333333333333,10,43.47826086956522,49200.0,46.63507109004739
前週,火,25-26時,3,33.33333333333333,7,30.434782608695656,22900.0,21.70616113744076
前週,金,18-19時,1,7.6923076923076925,2,3.4482758620689653,8900.0,2.4971941638608306
前週,金,20-21時,3,23.076923076923077,36,62.06896551724138,245500.0,68.88327721661055
前週,金,22-23時,7,53.84615384615385,16,27.586206896551722,82600.0,23.176206509539842
前週,金,24-25時,2,15.384615384615385,4,6.896551724137931,19400.0,5.4433221099887765
対象週,土,18-19時,2,20.0,3,7.5,10700.0,4.815481548154815
対象週,土,20-21時,2,20.0,13,32.5,63000.0,28.352835283528353
対象週,土,22-23時,4,40.0,16,40.0,122500.0,55.13051305130513
対象週,土,24-25時,1,10.0,7,17.5,17900.0,8.055805580558056
対象週,土,25-26時,1,10.0,1,2.5,8100.0,3.6453645364536458
対象週,日,20-21時,2,28.57142857142857,2,12.5,22000.0,27.77777777777778
対象週,日,22-23時,4,57.14285714285714,14,87.5,55200.0,69.6969696969697
対象週,日,24-25時,1,14.285714285714285,0,0.0,2000.0,2.525252525252525
対象週,月,18-19時,1,12.5,1,4.166666666666666,2200.0,2.3655913978494625
対象週,月,20-21時,3,37.5,9,37.5,40500.0,43.54838709677419
対象週,月,22-23時,3,37.5,7,29.166666666666668,35400.0,38.064516129032256
対象週,月,24-25時,1,12.5,7,29.166666666666668,14900.0,16.021505376344088
対象週,木,20-21時,1,10.0,2,9.523809523809524,21200.0,13.956550362080316
対象週,木,22-23時,3,30.0,6,28.57142857142857,40600.0,26.72811059907834
対象週,木,24-25時,4,40.0,9,42.857142857142854,33200.0,21.85648452929559
対象週,木,25-26時,2,20.0,4,19.047619047619047,56900.0,37.45885450954575
対象週,火,20-21時,1,14.285714285714285,2,11.76470588235294,18000.0,23.96804260985353
対象週,火,22-23時,4,57.14285714285714,9,52.94117647058824,39300.0,52.330226364846865
対象週,火,24-25時,2,28.57142857142857,6,35.294117647058826,17800.0,23.7017310252996
対象週,金,18-19時,2,18.181818181818183,5,16.666666666666664,22400.0,11.481291645310097
対象週,金,20-21時,4,36.36363636363637,11,36.666666666666664,98400.0,50.435674013326505
対象週,金,22-23時,5,45.45454545454545,14,46.666666666666664,74300.0,38.0830343413634
