期間,曜日,会計数,総売上,総客数,平均客単価,客単価中央値,客単価P10,客単価P90,客単価最大,客単価最小,大口会計数_10K以上,大口会計売上_10K以上
前週,木,4,167600.0,22,28127.777777777777,28355.555555555555,2473.3333333333335,53600.0,53600.0,2200.0,3,163200.0
前週,金,13,356400.0,58,4830.36858974359,4450.0,2220.0,7100.833333333333,8950.0,1700.0,6,315400.0
前週,土,12,179950.0,25,9230.555555555555,6975.0,2105.0,12340.0,48650.0,-2000.0,8,162650.0
前週,日,5,105500.0,26,inf,4400.0,3680.0,,inf,3500.0,2,86100.0
前週,月,13,149700.0,37,2398.4065934065934,4850.0,1900.0000000000002,7140.0,8000.0,-29200.0,8,155500.0
前週,火,9,105500.0,23,4300.0,4300.0,2020.0,6610.000000000001,8950.0,1300.0,5,87700.0
前週,水,14,105000.0,24,inf,5900.0,-9110.0,9800.000000000004,inf,-19800.0,8,119900.0
対象週,木,10,151900.0,21,8796.666666666666,7375.0,3465.0,12539.999999999993,30000.0,2250.0,6,118700.0
対象週,金,11,195100.0,30,5667.272727272727,5050.0,3500.0,7280.0,13260.0,2900.0,8,172800.0
対象週,土,10,222200.0,40,5649.987012987012,4886.363636363636,2551.4285714285716,8614.999999999998,13250.0,2500.0,6,198400.0
対象週,日,7,79200.0,16,inf,5200.0,3140.0,,inf,2975.0,5,70700.0
対象週,月,8,93000.0,24,4312.946428571429,4145.833333333334,2178.5714285714284,6180.0,6250.0,2128.5714285714284,7,90800.0
対象週,火,7,75100.0,17,4632.142857142857,3575.0,2590.0,8190.0,9000.0,1750.0,4,60200.0
