business_hour,account_total,customer_count,account_id,客単価
12,170.0,1,1,170.0
13,122740.0,11,9,11158.181818181818
14,389800.0,107,63,3642.9906542056074
15,379410.0,75,45,5058.8
16,320000.0,100,16,3200.0
17,380990.0,98,34,3887.6530612244896
18,1831180.0,505,172,3626.09900990099
19,5503960.0,1214,596,4533.739703459638
20,14468530.0,2626,1103,5509.722010662605
21,21061500.0,3722,1523,5658.651262761956
22,30196650.0,4893,1970,6171.3979153893315
23,32703370.0,6335,2549,5162.331491712707
24,19091300.0,3290,1345,5802.826747720364
25,11095680.0,1547,785,7172.385261797027
26,739140.0,550,353,1343.8909090909092
27,869250.0,94,68,9247.340425531915
28,499760.0,32,17,15617.5
