week,category1,subtotal,quantity,構成比
2026-W05,ビール,2600,2,72.22222222222221
2026-W05,その他,1000,2,27.77777777777778
2026-W06,ジャパニーズカクテル,150100,84,29.004830917874397
2026-W06,ジャパニーズウイスキー,71000,31,13.719806763285025
2026-W06,その他,47800,119,9.23671497584541
2026-W06,ウイスキー,42500,24,8.212560386473431
2026-W06,オリジナルカクテル,34300,20,6.628019323671499
2026-W06,スナック,27000,25,5.217391304347826
2026-W06,コース&セット,19500,3,3.768115942028986
2026-W06,ワイン（グラス）,15200,9,2.9371980676328504
2026-W06,ワイン,15000,2,2.898550724637681
2026-W06,カクテル,14100,8,2.7246376811594204
2026-W06,アラカルト,13500,10,2.608695652173913
2026-W06,ウイスキー（ハイボール・ボトル・オリジナル）,12500,8,2.4154589371980677
2026-W06,ソフトドリンク,9800,12,1.893719806763285
2026-W06,ご飯もの,8800,5,1.7004830917874396
2026-W06,ビール,8500,7,1.6425120772946862
2026-W06,ジン,7100,5,1.3719806763285025
2026-W06,日本酒,5100,3,0.9855072463768115
2026-W06,黒板メニュー,4800,2,0.927536231884058
2026-W06,ノンアルコールカクテル,3900,3,0.7536231884057971
2026-W06,デザート,3600,3,0.6956521739130435
2026-W06,ドリンク,2400,2,0.463768115942029
2026-W06,サラダ,1000,1,0.1932367149758454
2026-W06,未設定,0,10,0.0
2026-W07,コース&セット,180500,30,28.353754319824066
2026-W07,ジャパニーズカクテル,77100,45,12.111215834118756
2026-W07,オリジナルカクテル,75000,49,11.7813383600377
2026-W07,その他,44700,93,7.021677662582469
2026-W07,ビール,38400,30,6.032045240339302
2026-W07,ウイスキー（ハイボール・ボトル・オリジナル）,31900,24,5.0109959158027015
2026-W07,ご飯もの,28800,19,4.524033930254477
2026-W07,ワイン（グラス）,25600,17,4.021363493559535
2026-W07,スナック,22900,23,3.597235312598178
2026-W07,アラカルト,22500,19,3.5344015080113103
2026-W07,イベント,20800,4,3.2673578385171225
2026-W07,ウイスキー,15500,10,2.434809927741125
2026-W07,ワイン,15300,2,2.403393025447691
2026-W07,ソフトドリンク,9800,12,1.5394282123782597
2026-W07,ノンアルコールカクテル,9100,7,1.429469054351241
2026-W07,デザート,7500,6,1.17813383600377
2026-W07,カクテル,4200,3,0.6597549481621112
2026-W07,ジャパニーズウイスキー,3000,2,0.47125353440150797
2026-W07,ドリンク,2400,2,0.3770028275212064
2026-W07,サラダ,1600,1,0.2513352183474709
2026-W07,未設定,0,17,0.0
2026-W08,コース&セット,324000,53,44.03370481108997
2026-W08,ワイン,55500,7,7.542810546344116
2026-W08,ジャパニーズカクテル,51500,30,6.999184561022016
2026-W08,ウイスキー（ハイボール・ボトル・オリジナル）,47700,26,6.482739874966023
2026-W08,その他,44400,89,6.034248437075292
2026-W08,スナック,33100,33,4.4985050285403645
2026-W08,ビール,29400,24,3.9956509921174237
2026-W08,オリジナルカクテル,26400,15,3.587931503125849
2026-W08,ご飯もの,24400,14,3.3161185104648
2026-W08,アラカルト,14600,10,1.9842348464256592
2026-W08,ウイスキー,13800,9,1.8755096493612395
2026-W08,テキーラ,13500,9,1.8347377004620822
2026-W08,ワイン（グラス）,13400,10,1.8211470508290295
2026-W08,未設定,11000,17,1.4949714596357706
2026-W08,カクテル,7000,5,0.9513454743136721
2026-W08,ジャパニーズウイスキー,6800,4,0.9241641750475673
2026-W08,ソフトドリンク,6400,8,0.8698015765153574
2026-W08,ノンアルコールカクテル,5900,4,0.8018483283500952
2026-W08,ドリンク,2400,2,0.32617559119325906
2026-W08,黒板メニュー,1800,1,0.2446316933949443
2026-W08,サラダ,1600,1,0.21745039412883935
2026-W08,デザート,1200,1,0.16308779559662953
2026-W09,オリジナルカクテル,13000,8,24.20856610800745
2026-W09,ウイスキー,6800,4,12.66294227188082
2026-W09,その他,5000,10,9.31098696461825
2026-W09,ジャパニーズカクテル,4800,3,8.938547486033519
2026-W09,スナック,4800,3,8.938547486033519
2026-W09,ウイスキー（ハイボール・ボトル・オリジナル）,4700,3,8.752327746741155
2026-W09,アラカルト,4000,3,7.4487895716946
2026-W09,カクテル,3400,2,6.33147113594041
2026-W09,ビール,2300,2,4.283054003724395
2026-W09,日本酒,1700,1,3.165735567970205
2026-W09,ご飯もの,1600,1,2.97951582867784
2026-W09,ワイン（グラス）,1600,1,2.97951582867784
2026-W09,未設定,0,2,0.0
