year_week,売上,客数,組数,客単価
2022-W44,496820.0,84,39,5914.523809523809
2022-W45,626280.0,89,43,7036.853932584269
2022-W46,1189300.0,152,59,7824.3421052631575
2022-W47,851930.0,115,60,7408.086956521739
2022-W48,263920.0,44,20,5998.181818181818
2022-W52,37450.0,4,4,9362.5
2023-W01,320450.0,50,27,6409.0
2023-W02,647390.0,106,47,6107.452830188679
2023-W03,880920.0,139,59,6337.553956834532
2023-W04,736430.0,102,55,7219.901960784314
2023-W05,746180.0,112,61,6662.321428571428
2023-W06,798160.0,131,59,6092.824427480916
2023-W07,1175520.0,170,75,6914.823529411765
2023-W08,935450.0,163,83,5738.957055214724
2023-W09,1043660.0,166,65,6287.108433734939
2023-W10,1093660.0,164,74,6668.658536585366
2023-W11,1240980.0,154,75,8058.311688311688
2023-W12,1103500.0,207,89,5330.917874396136
2023-W13,1083250.0,167,77,6486.526946107784
2023-W14,928700.0,151,65,6150.3311258278145
2023-W15,1362010.0,181,85,7524.917127071823
2023-W16,682850.0,112,72,6096.875
2023-W17,1442980.0,189,97,7634.814814814815
2023-W18,897400.0,168,85,5341.666666666667
2023-W19,822240.0,135,68,6090.666666666667
2023-W20,1067560.0,168,74,6354.523809523809
2023-W21,958710.0,162,88,5917.962962962963
2023-W22,1114960.0,171,74,6520.233918128655
2023-W23,1151730.0,161,89,7153.60248447205
2023-W24,1083600.0,166,83,6527.710843373494
2023-W25,993860.0,173,85,5744.85549132948
2023-W26,1215830.0,198,77,6140.555555555556
2023-W27,1138410.0,177,93,6431.6949152542375
2023-W28,1211100.0,192,96,6307.8125
2023-W29,1048240.0,155,80,6762.8387096774195
2023-W30,1203300.0,187,97,6434.75935828877
2023-W31,1111720.0,175,93,6352.685714285714
2023-W32,1401110.0,229,200,6118.384279475982
2023-W33,932100.0,146,92,6384.246575342466
2023-W34,1095740.0,155,94,7069.290322580645
2023-W35,1014260.0,167,84,6073.413173652694
2023-W36,1178270.0,185,99,6369.027027027027
2023-W37,1095130.0,171,79,6404.269005847953
2023-W38,784320.0,138,67,5683.478260869565
2023-W39,886460.0,162,80,5471.975308641975
2023-W40,1032910.0,179,91,5770.446927374302
2023-W41,713480.0,164,71,4350.487804878048
2023-W42,637630.0,117,67,5449.82905982906
2023-W43,955900.0,198,99,4827.777777777777
2023-W44,901560.0,164,91,5497.317073170731
2023-W45,959260.0,152,74,6310.921052631579
2023-W46,973520.0,159,67,6122.767295597484
2023-W47,1092890.0,185,79,5907.513513513513
2023-W48,535840.0,106,58,5055.094339622641
2023-W49,4990460.0,185,78,26975.45945945946
2023-W50,944100.0,148,66,6379.054054054054
