business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,16676940.0,3102,1151,5376.189555125726,その他
7,19470900.0,3800,1393,5123.921052631579,その他
8,23096480.0,4643,1766,4974.473400818436,その他
9,13767260.0,2480,929,5551.314516129032,その他
10,6318170.0,910,426,6943.043956043956,その他
11,1597360.0,113,54,14135.929203539823,その他
12,241820.0,18,8,13434.444444444445,その他
13,245850.0,19,7,12939.473684210527,その他
21,170.0,1,1,170.0,20-22時
22,122740.0,11,9,11158.181818181818,22-24時
23,113800.0,61,21,1865.5737704918033,22-24時
24,117990.0,37,8,3188.9189189189187,24-26時
25,241720.0,91,7,2656.263736263736,24-26時
26,405680.0,102,12,3977.2549019607845,その他
27,1599070.0,457,122,3499.059080962801,その他
28,3479680.0,856,390,4065.0467289719627,その他
29,11243950.0,2154,819,5220.032497678737,その他
