week,menu_name,subtotal,quantity,構成比
2023-W52,tablecharge,4000.0,8,2.8797696184305255
2024-W01,tablecharge,26000.0,52,6.705178460903652
2024-W02,tablecharge,55000.0,110,5.10162435719533
2024-W03,tablecharge,46500.0,93,5.5263720852844
2024-W04,tablecharge,58500.0,117,6.165033196332596
2024-W05,tablecharge,41500.0,83,6.130166326922509
2024-W06,tablecharge,61500.0,123,6.605445464797809
2024-W07,tablecharge,72500.0,157,7.709649290712266
2024-W08,tablecharge,65500.0,135,8.740675500753966
2024-W09,tablecharge,30000.0,60,9.198503710063163
2024-W10,tablecharge,46000.0,92,7.442161462546514
2024-W11,tablecharge,44500.0,93,7.1572175311620425
2024-W12,tablecharge,82000.0,170,7.710187225912247
2024-W13,tablecharge,83500.0,177,10.289587184226741
2024-W14,tablecharge,47000.0,98,7.909368731404569
2024-W15,tablecharge,87500.0,175,10.647229894987893
2024-W16,tablecharge,63000.0,126,9.746287128712872
2024-W17,tablecharge,75500.0,151,9.29832728634168
2024-W18,tablecharge,71000.0,152,8.29943423575069
2024-W19,tablecharge,56500.0,113,5.419664268585132
2024-W20,tablecharge,65000.0,130,8.495155147671936
2024-W21,tablecharge,64500.0,133,7.401015717691985
2024-W21,5000円飲み放題付（2時間制）,10000.0,2,1.1474442973165866
2024-W22,5000円飲み放題付（2時間制）,100000.0,20,10.707555250985095
2024-W22,tablecharge,55000.0,110,5.889155388041802
2024-W23,tablecharge,66500.0,133,7.073045951399133
2024-W23,5000円飲み放題付（2時間制）,10000.0,2,1.063615932541223
2024-W24,tablecharge,36500.0,73,5.592155661100047
2024-W25,tablecharge,56500.0,113,7.7638684677009335
2024-W25,5000円飲み放題付（2時間制）,22730.0,5,3.123411155236145
2024-W26,5000円飲み放題付（2時間制）,54092.0,11,6.862246354288903
2024-W26,tablecharge,43500.0,87,5.518518753449074
2024-W27,tablecharge,43500.0,87,5.938631411674121
2024-W28,tablecharge,49000.0,98,4.2116590756525705
2024-W28,5000円飲み放題付（2時間制）,31822.0,7,2.735171736845227
2024-W29,tablecharge,50000.0,100,5.615611399691142
2024-W29,5000円飲み放題付（2時間制）,45460.0,10,5.105713884599186
2024-W30,tablecharge,46000.0,92,4.845777852688353
2024-W31,tablecharge,64000.0,134,7.260401091782814
2024-W32,tablecharge,40000.0,86,7.432015636960901
2024-W32,5000円飲み放題付（2時間制）,9092.0,2,1.6892971542812125
2024-W33,tablecharge,38000.0,80,6.210875570011278
2024-W34,tablecharge,43500.0,87,7.097289977321303
2024-W35,tablecharge,46500.0,93,6.8110910928505515
2024-W36,tablecharge,56000.0,124,4.794315311844527
2024-W37,tablecharge,66500.0,133,6.274455042350214
2024-W37,5000円飲み放題付（2時間制）,13638.0,3,1.2867822235725144
2024-W38,tablecharge,58000.0,116,7.52953394781254
2024-W39,tablecharge,90500.0,185,6.7208792840963945
2024-W40,tablecharge,51000.0,102,5.0330106285342096
2024-W41,tablecharge,67000.0,134,6.893287789620972
2024-W42,tablecharge,85000.0,170,9.420474570260117
2024-W43,tablecharge,91000.0,188,8.517967294749749
2024-W44,tablecharge,109000.0,248,8.918489911469669
2024-W45,tablecharge,51500.0,107,6.637025581545203
2024-W46,tablecharge,40000.0,82,6.126437415378583
2024-W47,tablecharge,49500.0,105,7.608244570480011
2024-W48,tablecharge,90500.0,189,9.246960253397365
2024-W48,竹鶴,1700.0,1,0.17369980586492284
2024-W49,tablecharge,78500.0,157,7.6466004285992595
2024-W49,ハウスハイボール,69600.0,54,6.779661016949152
2024-W49,竹鶴,10200.0,6,0.9935710111046172
2024-W50,tablecharge,77000.0,154,6.4150629009414315
2024-W50,ハウスハイボール,24400.0,19,2.0328251270515705
2024-W50,竹鶴,3400.0,2,0.28326251770390737
2024-W51,tablecharge,55500.0,115,4.5012165450121655
2024-W51,ハウスハイボール,36900.0,30,2.9927007299270074
2024-W51,竹鶴,1700.0,1,0.137875101378751
2024-W52,tablecharge,63500.0,127,7.421692379616643
2024-W52,ハウスハイボール,27300.0,21,3.190743338008415
2024-W52,竹鶴,15300.0,9,1.788218793828892
2025-W01,tablecharge,41500.0,89,10.683760683760683
2025-W01,ハウスハイボール,6500.0,5,1.6733601070950468
2025-W02,tablecharge,58500.0,127,9.889441119789025
2025-W02,ハウスハイボール,23400.0,18,3.9557764479156097
2025-W02,竹鶴,1700.0,1,0.2873854684383136
2025-W03,tablecharge,48000.0,96,7.476053266879526
2025-W03,ハウスハイボール,15600.0,12,2.429717311735846
2025-W03,竹鶴,3400.0,2,0.5295537730706332
2025-W04,tablecharge,51500.0,103,6.161024045938509
2025-W04,ハウスハイボール,42300.0,33,5.06041392511066
2025-W04,竹鶴,3400.0,2,0.40674721856681423
2025-W05,ハウスハイボール,42900.0,33,6.3493473048574725
2025-W05,tablecharge,42500.0,85,6.2901459313856085
2025-W06,tablecharge,41000.0,82,6.159763224711167
2025-W06,ハウスハイボール,15600.0,12,2.3437147879388833
2025-W06,竹鶴,1700.0,1,0.2554048166343655
2025-W07,tablecharge,48500.0,103,5.125224558807989
2025-W07,ハウスハイボール,32500.0,25,3.434428828067209
2025-W07,竹鶴,6800.0,4,0.7185881855648314
2025-W08,tablecharge,73000.0,146,10.049559471365638
2025-W08,ハウスハイボール,21500.0,17,2.9598017621145374
2025-W08,竹鶴,6800.0,4,0.9361233480176211
2025-W08,白州,1800.0,1,0.24779735682819384
2025-W09,tablecharge,53000.0,116,7.338687344225976
2025-W09,ハウスハイボール,18000.0,15,2.4923843810578785
2025-W09,竹鶴,1700.0,1,0.2353918582110219
2025-W10,tablecharge,61000.0,122,8.792159123666762
2025-W10,ハウスハイボール,40300.0,31,5.808590371865091
2025-W10,竹鶴,1700.0,1,0.24502738541366387
2025-W11,tablecharge,67500.0,135,7.874015748031496
2025-W11,ハウスハイボール,28000.0,22,3.2662583843686206
2025-W11,竹鶴,3400.0,2,0.39661708953047536
2025-W12,tablecharge,75000.0,150,9.745955428497172
2025-W12,ハウスハイボール,10400.0,8,1.351439152751608
2025-W12,竹鶴,5100.0,3,0.6627249691378078
2025-W13,tablecharge,75000.0,150,8.500510030601836
2025-W13,ハウスハイボール,41600.0,32,4.714949563640485
2025-W13,竹鶴,6800.0,4,0.7707129094412332
2025-W14,tablecharge,73500.0,147,7.791629563668745
2025-W14,ハウスハイボール,22100.0,17,2.342789297375228
2025-W14,白州,5400.0,3,0.5724462536572955
2025-W15,tablecharge,83500.0,171,11.143734151875083
2025-W15,ハウスハイボール,7800.0,6,1.0409715734685707
2025-W16,tablecharge,75500.0,151,9.128279530891065
2025-W16,ハウスハイボール,23400.0,18,2.8291621327529923
2025-W16,竹鶴,10200.0,6,1.2332245194051505
2025-W17,tablecharge,81000.0,162,10.77127659574468
2025-W17,ハウスハイボール,14300.0,11,1.9015957446808511
2025-W17,竹鶴,8500.0,5,1.1303191489361704
2025-W18,tablecharge,63000.0,126,7.593105941906714
2025-W18,ハウスハイボール,34500.0,24,4.158129444377486
2025-W19,ハウスハイボール,114400.0,88,14.822377644123005
2025-W19,tablecharge,45000.0,90,5.830480716656776
