year_week,menu_name,subtotal,quantity,構成比
2026-W23,7000円飲み放題付（3時間制）,84000.0,12,17.10794297352342
2026-W23,CLPコース_7000円飲み放題付（3時間制）,77000.0,11,15.682281059063136
2026-W23,tablecharge,50400.0,84,10.264765784114054
2026-W23,5000円飲み放題付（2時間制）,40000.0,8,8.146639511201629
2026-W23,本わさびジンソニック,28800.0,16,5.865580448065173
2026-W23,ハウスハイボール,15600.0,13,3.1771894093686353
2026-W23,アードベック 10年,12800.0,8,2.6069246435845215
2026-W23,森のジントニック,12000.0,8,2.4439918533604885
2026-W23,ワカモレチップス,10800.0,9,2.1995926680244398
2026-W23,白州,10800.0,6,2.1995926680244398
2026-W23,トロピカルヴェール,10500.0,7,2.1384928716904277
2026-W23,撫子ネグローニ,7600.0,4,1.5478615071283095
2026-W23,焙煎ファッションド,7600.0,4,1.5478615071283095
2026-W23,ローズガーデン,7500.0,5,1.5274949083503055
2026-W23,作,6800.0,4,1.384928716904277
2026-W23,ガージェリー,6500.0,5,1.3238289205702647
2026-W23,ベルガモットモスコミュール,6000.0,4,1.2219959266802443
2026-W23,ティラミスロブロイ,6000.0,4,1.2219959266802443
2026-W23,ゆずマティーニ,5700.0,3,1.1608961303462322
2026-W23,グレンリベット18年,5200.0,2,1.0590631364562118
2026-W23,竹鶴,5100.0,3,1.0386965376782078
2026-W23,カルヴァドスモヒート,4500.0,3,0.9164969450101833
2026-W23,宮城峡,4500.0,2,0.9164969450101833
2026-W23,サンセットソルティドッグ,4500.0,3,0.9164969450101833
2026-W23,桜ブロッサム,3800.0,2,0.7739307535641547
2026-W23,バレルエイジドジン,3600.0,2,0.7331975560081466
2026-W23,デイドリームレモネード,3400.0,2,0.6924643584521385
2026-W23,アラン アマローネカスク,3200.0,2,0.6517311608961304
2026-W23,オリエンタルアフタヌーン,3000.0,2,0.6109979633401221
2026-W23,キャラメルナッツキャデラック,3000.0,2,0.6109979633401221
2026-W23,ソイ抹茶アレキサンダー,3000.0,2,0.6109979633401221
2026-W23,カマンベールフォンデュ,2800.0,2,0.5702647657841141
2026-W23,タンカレー,2400.0,2,0.4887983706720978
2026-W23,ドリンク,2400.0,2,0.4887983706720978
2026-W23,BFAカプレーゼ,2200.0,2,0.4480651731160896
2026-W23,キャンディピーカン,2100.0,3,0.42769857433808556
2026-W23,ハートランド,2000.0,2,0.40733197556008144
2026-W23,クラシックカクテル,1900.0,1,0.3869653767820774
2026-W23,余市,1800.0,1,0.3665987780040733
2026-W23,エンジン,1600.0,1,0.3258655804480652
2026-W23,バースデープレート,1500.0,1,0.30549898167006106
2026-W23,オーチャードマティーニ,1500.0,1,0.30549898167006106
2026-W23,ウイスキー,1400.0,1,0.28513238289205706
2026-W23,イーガンズ,1400.0,1,0.28513238289205706
2026-W23,イチローズモルト ホワイトラベル,1400.0,1,0.28513238289205706
2026-W23,オリーブ,1400.0,2,0.28513238289205706
2026-W23,フィグバター＆ブリオッシュ,1300.0,1,0.26476578411405294
2026-W23,マッシュルームサラダとコールドカット,1300.0,1,0.26476578411405294
2026-W23,丸氷,1300.0,13,0.26476578411405294
2026-W23,ケールとベリーのサラダ,1300.0,1,0.26476578411405294
2026-W23,チャイナブルー,1200.0,1,0.2443991853360489
2026-W23,キャラメルバナナ,1200.0,1,0.2443991853360489
2026-W23,ウーロン茶,800.0,1,0.1629327902240326
2026-W23,オレンジジュース,800.0,1,0.1629327902240326
2026-W23,ジンジャーエール,800.0,1,0.1629327902240326
2026-W23,No charge,0.0,7,0.0
