hour,account_total,customer_count,account_id,客単価
3,170.0,1,1,170.0
4,122740.0,11,9,11158.181818181818
5,329800.0,82,62,4021.951219512195
6,379410.0,75,45,5058.8
7,270000.0,86,15,3139.5348837209303
8,291230.0,97,33,3002.3711340206187
9,1674000.0,456,165,3671.0526315789475
10,5249100.0,1148,572,4572.386759581882
11,13286250.0,2434,1056,5458.607230895645
12,19817560.0,3504,1437,5655.696347031963
13,28171130.0,4527,1847,6222.9136293351
14,30984860.0,5998,2433,5165.865288429476
15,18417740.0,3149,1295,5848.758335979676
16,10801810.0,1509,766,7158.257123923128
17,731390.0,548,351,1334.653284671533
18,869250.0,94,68,9247.340425531915
19,446250.0,31,16,14395.161290322581
