year_week,category1,subtotal,quantity,構成比
2026-W06,コース,265100.0,57,22.030440401052076
2026-W06,串焼き,255515.0,812,21.233904108166055
2026-W06,単品料理,171887.0,282,14.284218442910742
2026-W06,アルコール,137705.0,184,11.44361295898482
2026-W06,ビール,103455.0,147,8.59735651335663
2026-W06,日本酒,67815.0,48,5.635587762343819
2026-W06,お通し,67650.0,205,5.62187586997802
2026-W06,サワー,57010.0,85,4.737666568328853
2026-W06,カクテル,26400.0,39,2.193902778528008
2026-W06,焼酎,24816.0,35,2.0622686118163274
2026-W06,ソフトドリンク,12265.0,54,1.0192506658578036
2026-W06,吉野物語【果実酒】1,4070.0,6,0.33822667835640113
2026-W06,煮込み,4004.0,13,0.3327419214100812
2026-W06,果実酒【鬼おろし】,2695.0,4,0.22396090864140078
2026-W06,デザート,2288.0,6,0.19013824080576067
2026-W06,吉野物語【果実酒】2,660.0,1,0.054847569463200185
2026-W06,飲み放題ドリンク,0.0,283,0.0
