week,menu_name,subtotal,quantity,構成比
2026-W01,生ビール,66050.0,100,13.43563810635818
2026-W01,串かめやコース【5000】,60000.0,12,12.204970270726582
2026-W01,お通し,33330.0,101,6.779860985388616
2026-W01,角ハイボール,22850.0,29,4.64805951143504
2026-W01,緑茶ハイ,13825.0,23,2.812228566546583
2026-W01,かめやハイボール,12705.0,19,2.584402454826354
2026-W01,瓶ビール【赤星】,11550.0,15,2.349456777114867
2026-W01,アスパラ肉巻き,11220.0,34,2.2823294406258707
2026-W01,こだわり酒場のレモンサワー,11000.0,20,2.2375778829665403
2026-W01,のりチーズ,10890.0,33,2.215202104136875
2026-W01,こだわりレモン【メガ】,8800.0,10,1.790062306373232
2026-W01,万能ネギのしゃぶ串,6600.0,20,1.342546729779924
2026-W01,レタス巻き,4420.0,13,0.8990994766101915
2026-W01,豚しそ巻き,3718.0,13,0.7563013244426905
2026-W01,ウーロンハイ,2475.0,5,0.5034550236674715
2026-W01,記憶に残るポテトサラダ,748.0,1,0.15215529604172473
2026-W01,富乃宝山（芋）,660.0,1,0.1342546729779924
2026-W01,ジャスミンハイ,550.0,1,0.111878894148327
2026-W02,生ビール,106920.0,162,8.947332745882193
2026-W02,お通し,87120.0,264,7.290419274422528
2026-W02,串かめやコース【5000】,70000.0,14,5.8577748990998275
2026-W02,角ハイボール,60620.0,81,5.07283306262045
2026-W02,串大亀コース【6000】,42000.0,7,3.5146649394598968
2026-W02,こだわりレモン【メガ】,28160.0,32,2.3564991594093017
2026-W02,こだわり酒場のレモンサワー,25850.0,47,2.1631925877390077
2026-W02,レタス巻き,25735.0,76,2.153569100404772
2026-W02,緑茶ハイ,24655.0,41,2.063192001961518
2026-W02,アスパラ肉巻き,24090.0,73,2.0159113902759263
2026-W02,のりチーズ,22440.0,68,1.8778352676542875
2026-W02,万能ネギのしゃぶ串,18810.0,57,1.5740677978866822
2026-W02,ジャスミンハイ,17605.0,27,1.4732303871236065
2026-W02,記憶に残るポテトサラダ,16456.0,22,1.3770791962798108
2026-W02,かめやハイボール,16060.0,22,1.3439409268506175
2026-W02,豚しそ巻き,15158.0,53,1.2684593131507884
2026-W02,ウーロンハイ,12075.0,22,1.0104661700947202
2026-W02,富乃宝山（芋）,10120.0,15,0.8468668854127179
2026-W02,瓶ビール【赤星】,8470.0,11,0.7087907627910791
2026-W03,生ビール,124740.0,189,9.211947912689581
2026-W03,お通し,89760.0,272,6.6287032599247775
2026-W03,角ハイボール,84500.0,113,6.2402565225450495
2026-W03,アスパラ肉巻き,41250.0,125,3.046279071656607
2026-W03,こだわりレモン【メガ】,35420.0,40,2.615738296195807
2026-W03,のりチーズ,35310.0,107,2.6076148853380556
2026-W03,串かめやコース【5000】,25000.0,5,1.8462297403979435
2026-W03,こだわり酒場のレモンサワー,24750.0,45,1.8277674429939643
2026-W03,記憶に残るポテトサラダ,23936.0,32,1.7676542026466073
2026-W03,レタス巻き,23210.0,69,1.714039690985451
2026-W03,万能ネギのしゃぶ串,22440.0,68,1.6571758149811944
2026-W03,かめやハイボール,18590.0,24,1.372856434959911
2026-W03,豚しそ巻き,17732.0,62,1.3094938302694534
2026-W03,富乃宝山（芋）,16500.0,25,1.218511628662643
2026-W03,緑茶ハイ,16035.0,25,1.1841717554912412
2026-W03,ジャスミンハイ,7170.0,9,0.5294986895461303
2026-W03,ウーロンハイ,4850.0,9,0.35816856963720106
2026-W03,瓶ビール【赤星】,3080.0,4,0.22745550401702666
2026-W04,串大亀コース【6000】,306000.0,51,17.929337317630516
2026-W04,鍋かめやコース【5000】,165000.0,33,9.667779926173317
2026-W04,生ビール,107580.0,163,6.3033925118650025
2026-W04,角ハイボール,100140.0,131,5.867463526103006
2026-W04,お通し,85800.0,260,5.027245561610124
2026-W04,串かめやコース【5000】,50000.0,10,2.9296302806585808
2026-W04,こだわりレモン【メガ】,31680.0,36,1.8562137458252768
2026-W04,アスパラ肉巻き,31020.0,94,1.8175426261205836
2026-W04,かめやハイボール,26455.0,46,1.5500673814964552
2026-W04,こだわり酒場のレモンサワー,25850.0,47,1.5146188551004862
2026-W04,記憶に残るポテトサラダ,23936.0,32,1.402472607956876
2026-W04,のりチーズ,23430.0,71,1.372824749516611
2026-W04,瓶ビール【赤星】,20020.0,26,1.1730239643756957
2026-W04,レタス巻き,19995.0,58,1.1715591492353665
2026-W04,万能ネギのしゃぶ串,19470.0,59,1.1407980312884514
2026-W04,豚しそ巻き,16588.0,58,0.9719341419112909
2026-W04,ジャスミンハイ,8500.0,13,0.4980371477119588
2026-W04,富乃宝山（芋）,5895.0,8,0.3454034100896467
2026-W04,緑茶ハイ,4990.0,7,0.2923771020097264
2026-W04,ウーロンハイ,4355.0,8,0.2551707974453624
2026-W05,串かめやコース【5000】,250000.0,50,17.87578474695039
2026-W05,生ビール,106920.0,162,7.645115620575743
2026-W05,お通し,70620.0,214,5.049551675318546
2026-W05,鍋かめやコース【5000】,60000.0,12,4.290188339268094
2026-W05,角ハイボール,51060.0,69,3.650950276717148
2026-W05,かめやハイボール,26950.0,41,1.9270095957212523
2026-W05,こだわり酒場のレモンサワー,24200.0,44,1.7303759635047977
2026-W05,串大亀コース【6000】,24000.0,4,1.7160753357072376
2026-W05,アスパラ肉巻き,23430.0,71,1.6753185464841904
2026-W05,記憶に残るポテトサラダ,21692.0,29,1.5510460909233916
2026-W05,緑茶ハイ,16795.0,29,1.2008952193001272
2026-W05,万能ネギのしゃぶ串,16500.0,50,1.1798017932987257
2026-W05,富乃宝山（芋）,15400.0,23,1.101148340412144
2026-W05,のりチーズ,14850.0,45,1.0618216139688532
2026-W05,レタス巻き,13285.0,39,0.9499192014529438
2026-W05,豚しそ巻き,12584.0,44,0.899795501022495
2026-W05,こだわりレモン【メガ】,9680.0,11,0.6921503854019191
2026-W05,瓶ビール【赤星】,8470.0,11,0.6056315872266792
2026-W05,ウーロンハイ,4850.0,9,0.3467902240908376
2026-W05,ジャスミンハイ,3740.0,6,0.26742173981437783
2026-W06,串大亀コース【6000】,194400.0,30,16.155102278251693
2026-W06,生ビール,68640.0,104,5.70414722417282
2026-W06,お通し,67650.0,205,5.62187586997802
2026-W06,角ハイボール,64260.0,83,5.3401588086443095
2026-W06,串かめやコース【5000】,30000.0,6,2.4930713392363724
2026-W06,レタス巻き,25400.0,75,2.1108004005534617
2026-W06,アスパラ肉巻き,25080.0,76,2.0842076396016074
2026-W06,かめやハイボール,23980.0,35,1.992795023829607
2026-W06,瓶ビール【赤星】,23100.0,30,1.9196649312120067
2026-W06,こだわり酒場のレモンサワー,20900.0,38,1.736839699668006
2026-W06,豚しそ巻き,20306.0,71,1.6874768871511256
2026-W06,のりチーズ,20130.0,61,1.6728508686276056
2026-W06,緑茶ハイ,19920.0,31,1.6553993692529512
2026-W06,万能ネギのしゃぶ串,16500.0,50,1.371189236580005
2026-W06,こだわりレモン【メガ】,15840.0,18,1.3163416671168044
2026-W06,ジャスミンハイ,10335.0,13,0.8588630763669303
2026-W06,ウーロンハイ,8815.0,14,0.7325474618456207
2026-W06,記憶に残るポテトサラダ,5236.0,7,0.43512405107472146
2026-W06,富乃宝山（芋）,2640.0,4,0.21939027785280074
2026-W07,串大亀コース【6000】,144000.0,24,10.267570022688478
2026-W07,鍋かめやコース【5000】,100000.0,20,7.130256960200332
2026-W07,生ビール,93720.0,142,6.68247682309975
2026-W07,お通し,81180.0,246,5.78834260029063
2026-W07,角ハイボール,68390.0,91,4.876382735081007
2026-W07,串かめやコース【5000】,65000.0,13,4.6346670241302155
2026-W07,かめやハイボール,32340.0,50,2.3059251009287873
2026-W07,アスパラ肉巻き,28050.0,85,2.000037077336193
2026-W07,こだわり酒場のレモンサワー,25300.0,46,1.8039550109306839
2026-W07,豚しそ巻き,22880.0,80,1.6314027924938361
2026-W07,ジャスミンハイ,22250.0,29,1.586482173644574
2026-W07,レタス巻き,21290.0,63,1.5180317068266507
2026-W07,のりチーズ,21120.0,64,1.50591026999431
2026-W07,万能ネギのしゃぶ串,19470.0,59,1.3882610301510045
2026-W07,記憶に残るポテトサラダ,19448.0,26,1.3866923736197605
2026-W07,瓶ビール【赤星】,17710.0,23,1.2627685076514787
2026-W07,ウーロンハイ,16545.0,27,1.179701014065145
2026-W07,緑茶ハイ,15955.0,31,1.1376324979999628
2026-W07,こだわりレモン【メガ】,14960.0,17,1.0666864412459696
2026-W07,富乃宝山（芋）,14850.0,22,1.0588431585897493
