business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1207610,68,122,17758.970588235294,その他
7,197410,17,12,11612.35294117647,その他
8,189320,8,1,23665.0,その他
18,78600,0,2,inf,18-20時
19,386810,26,21,14877.307692307691,18-20時
20,11687365,3037,1562,3848.3256503128086,20-22時
21,11566355,4711,2601,2455.1804287836976,20-22時
22,5932110,2000,1260,2966.055,22-24時
23,560870,66,81,8498.030303030304,22-24時
24,373470,1,52,373470.0,24-26時
25,2838320,180,139,15768.444444444445,24-26時
26,16950012,1568,815,10809.956632653062,その他
27,13864106,1288,822,10764.05745341615,その他
28,8769580,843,624,10402.82325029656,その他
29,4244346,382,374,11110.853403141362,その他
