business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1642430.0,75,157,21899.066666666666,その他
7,231410.0,24,14,9642.083333333334,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,14222075.0,3797,2000,3745.608375032921,20-22時
21,14362885.0,5911,3264,2429.8570461850786,20-22時
22,7215820.0,2418,1577,2984.2100909842843,22-24時
23,803620.0,83,113,9682.168674698794,22-24時
24,637460.0,41,85,15547.80487804878,24-26時
25,3062330.0,182,170,16825.98901098901,24-26時
26,21159952.0,1946,1003,10873.562178828366,その他
27,16727936.0,1533,1041,10911.89562948467,その他
28,11007130.0,1036,815,10624.642857142857,その他
29,5206066.0,445,499,11699.024719101124,その他
