week,category1,subtotal,quantity,構成比
2025-W09,テイクアウト,259630,57,71.44272309512671
2025-W09,フード,64400,28,17.721031342010402
2025-W09,コース,29000,5,7.9799675297872925
2025-W09,ドリンク,5600,7,1.5409592471313394
2025-W09,ウーバーイーツ,4780,15,1.3153187859442503
2025-W10,フード,460940,231,40.09289541437617
2025-W10,テイクアウト,450700,90,39.20221278964581
2025-W10,ドリンク,103700,113,9.01990118989632
2025-W10,コース,67200,14,5.845104724792986
2025-W10,ランチ,42000,6,3.653190452995616
2025-W10,事前決済,19000,1,1.6526337763551595
2025-W10,ウーバーイーツ,5840,24,0.5079674344165332
2025-W10,お土産,300,1,0.026094217521397258
2025-W11,テイクアウト,522250,113,38.861645843720005
2025-W11,フード,508280,211,37.8221107696429
2025-W11,コース,180520,25,13.432846927158131
2025-W11,ドリンク,105800,120,7.872785314055674
2025-W11,ランチ,21000,3,1.5626511492927142
2025-W11,ウーバーイーツ,6020,35,0.44795999613057813
2025-W12,フード,485620,233,39.89091237668087
2025-W12,テイクアウト,464820,99,38.18231104758619
2025-W12,コース,146000,21,11.99306702153002
2025-W12,ドリンク,84950,98,6.978157832047775
2025-W12,ランチ,28000,4,2.300040250704387
2025-W12,ウーバーイーツ,7980,63,0.6555114714507504
2025-W13,テイクアウト,455990,94,44.12607172579303
2025-W13,フード,381980,190,36.96413710348565
2025-W13,コース,109840,20,10.629197391085563
2025-W13,ドリンク,80150,93,7.756101337358958
2025-W13,ウーバーイーツ,5420,19,0.5244924422768005
2025-W14,テイクアウト,565030,120,45.26468420546672
2025-W14,フード,466590,207,37.37863299900663
2025-W14,コース,113840,24,9.119748774313456
2025-W14,ドリンク,97200,92,7.786714519178389
2025-W14,ウーバーイーツ,5020,33,0.4021533630275259
2025-W14,お土産,600,2,0.04806613900727401
2025-W15,フード,769940,333,44.28607583287318
2025-W15,テイクアウト,670000,139,38.5376403460335
2025-W15,ドリンク,187500,175,10.78478741027057
2025-W15,コース,85800,14,4.935118718939812
2025-W15,ランチ,14000,2,0.8052641266335357
2025-W15,ウーバーイーツ,11320,54,0.6511135652494018
2025-W16,テイクアウト,579630,137,42.02958451163802
2025-W16,フード,411130,211,29.81147124936553
2025-W16,コース,207400,21,15.038793415995938
2025-W16,ドリンク,128400,136,9.310419839025451
2025-W16,ランチ,49000,7,3.5530418388804295
2025-W16,ウーバーイーツ,3540,19,0.2566891450946269
2025-W17,テイクアウト,562040,124,40.94472127516974
2025-W17,フード,554960,248,40.428941923827836
