year_week,売上,客数,組数,客単価
2025-W09,355040.0,14,32,25360.0
2025-W10,1146564.0,98,87,11699.632653061224
2025-W11,1338730.0,102,80,13124.803921568628
2025-W12,1242295.0,103,81,12061.116504854368
2025-W13,1047825.0,71,77,14758.098591549297
2025-W14,1272223.0,91,78,13980.472527472528
2025-W15,1736770.0,119,93,14594.70588235294
2025-W16,1398430.0,92,83,15200.326086956522
2025-W17,1392725.0,89,93,15648.595505617977
2025-W18,1686380.0,125,111,13491.04
2025-W19,1543845.0,94,103,16423.882978723403
2025-W20,1517680.0,113,97,13430.79646017699
2025-W21,1582515.0,87,96,18189.827586206895
2025-W22,1381500.0,102,98,13544.117647058823
2025-W23,1325120.0,101,80,13120.0
2025-W24,1888997.0,110,97,17172.7
2025-W25,2013804.0,120,121,16781.7
2025-W26,2136855.0,107,116,19970.607476635512
2025-W27,1879536.0,112,123,16781.571428571428
2025-W28,2359187.0,135,120,17475.45925925926
2025-W29,3666372.0,174,230,21071.103448275862
2025-W30,2649605.0,152,183,17431.611842105263
2025-W31,2198670.0,132,136,16656.590909090908
2025-W32,2096000.0,113,119,18548.672566371682
2025-W33,1728295.0,106,126,16304.669811320755
2025-W34,1661820.0,95,117,17492.842105263157
2025-W35,1570510.0,87,90,18051.83908045977
2025-W36,1588470.0,86,87,18470.581395348836
2025-W37,1418115.0,104,84,13635.721153846154
2025-W38,1214079.0,83,84,14627.4578313253
2025-W39,1603040.0,89,98,18011.685393258427
2025-W40,1559177.0,93,86,16765.344086021505
2025-W41,1254515.0,81,88,15487.839506172839
2025-W42,1250229.0,68,101,18385.720588235294
2025-W43,1217655.0,89,72,13681.516853932584
2025-W44,1575415.0,81,119,19449.567901234568
2025-W45,1295645.0,95,84,13638.368421052632
2025-W46,1841550.0,81,102,22735.185185185186
2025-W47,1411505.0,96,86,14703.177083333334
2025-W48,1388600.0,67,116,20725.373134328358
2025-W49,1402800.0,78,93,17984.615384615383
2025-W50,1336569.0,71,103,18824.915492957745
2025-W51,1700635.0,97,106,17532.319587628866
2025-W52,1774075.0,80,117,22175.9375
2026-W01,2171206.0,89,153,24395.573033707864
2026-W02,1498805.0,75,97,19984.066666666666
2026-W03,1240350.0,66,85,18793.18181818182
2026-W04,1379600.0,75,83,18394.666666666668
2026-W05,1444845.0,85,91,16998.176470588234
2026-W06,973685.0,43,60,22643.837209302324
2026-W07,1721929.0,105,101,16399.32380952381
2026-W08,1601005.0,87,97,18402.35632183908
2026-W09,1056385.0,56,71,18864.01785714286
2026-W10,1111280.0,58,72,19160.0
2026-W11,1307390.0,72,85,18158.194444444445
2026-W12,1170320.0,86,80,13608.372093023256
2026-W13,1431180.0,74,82,19340.27027027027
2026-W14,1545510.0,80,87,19318.875
2026-W15,1411940.0,76,89,18578.157894736843
2026-W16,1157060.0,62,73,18662.25806451613
2026-W17,32760.0,0,2,inf
