business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,50200.0,0,2,inf,その他
7,110055.0,2,10,55027.5,その他
8,360550.0,21,11,17169.04761904762,その他
9,363400.0,12,20,30283.333333333332,その他
10,339580.0,29,24,11709.655172413793,その他
11,9645840.0,1240,698,7778.903225806452,その他
12,9000075.0,1117,787,8057.363473589973,その他
13,4113850.0,290,400,14185.689655172413,その他
14,1854148.0,3,171,618049.3333333334,その他
15,2039235.0,1,177,2039235.0,その他
16,5473775.0,115,388,47598.04347826087,その他
17,21713810.0,1022,1051,21246.389432485325,その他
18,22786932.0,1136,1134,20058.919014084506,18-20時
19,15200852.0,759,924,20027.47299077734,18-20時
20,7040520.0,201,509,35027.46268656717,20-22時
21,2235594.0,27,184,82799.77777777778,20-22時
22,98990.0,2,6,49495.0,22-24時
26,98220.0,9,7,10913.333333333334,その他
27,147900.0,21,13,7042.857142857143,その他
28,15760.0,0,2,inf,その他
29,14060.0,0,1,inf,その他
