No.,テーマ,フック（0-5秒）,共感（5-12秒）,前提知識（12-21秒）,メイン解説（21-30秒）,解説まとめ（30-32秒）,実践（32-44秒）,CTA（42-45秒）
1,化粧水のあと、どのくらいで乳液を塗ればいい？,化粧水のあと、すぐに乳液を重ねていませんか？ちょっと待って！3〜5分のインターバルが美肌の分かれ道なんです,今回は、保湿効果を高める黄金のタイミングを科学的にお伝えします。,"・肌の角質層はわずか0.02mm
・化粧水の後は必ず油分でフタ！
・なじませてから乳液でうるおい持続","・化粧水の後は3〜5分待って！
・肌のべたつきがなくなったら
・乳液を塗るベストタイミング",つまり、化粧水の浸透を待ってから乳液を塗ることで、保湿効果を最大限に引き出せます。,"・化粧水のべたつきがなくなったら
・乳液を塗るのがベストタイミング！
・この一手間で美肌に差がつく","・保存してスキンケアに役立ててね
・気になることはコメントで質問！"
2,お風呂上がりすぐに塗らないとダメ？,実は、お風呂上がりのスキンケアって30分以内なら十分間に合うんですよ,この投稿では、最新の研究でわかった意外な事実を解説します。,"・お風呂上がりは水分が蒸発し、実は超乾燥状態に
・放っておくと入浴前より乾燥することも…
・すぐ保湿してうるおいのバリアを作ろう！","・お風呂上がりの保湿、急がなくてOK！
・最新研究で判明した衝撃の事実
・1分後も1時間後も効果は同じだった",つまり、「すぐに」という時間にこだわらず、肌が完全に乾く前にケアすることが大切なんです。,"・お風呂上がり30分以内がスキンケアの目安
・髪を乾かし着替えを済ませてから
・落ち着いてスタートするのがポイント","・保存して今夜から始める
・時間に追われない丁寧スキンケア
・まずはこの投稿を保存！"
3,朝の保湿と夜の保湿はどう違うの？,朝と夜、同じクリームで済ませている方へ。肌にも体内時計があるって知っていました？,実は、時間帯によって肌が求めるものは180度違うんです。,"・肌にも体内時計！昼は「保護」、夜は「回復」モード
・夜は肌の水分が逃げやすく、乾燥のピークに
・朝8時〜10時が一番うるおっている時間！","・朝の保湿：日中の刺激から肌を「守る」
・夜の保湿：日中のダメージを「回復」",つまり、朝はプロテクト、夜はリペアと、それぞれに最適化された保湿が効果的です。,"・夜の保湿を重点的に
・朝はさっぱり、夜はしっとり使い分け
・肌のリズムをサポートしよう","・保存して始めてみて！
・朝と夜のスキンケア使い分け
・肌リズムに合わせたケアを体感"
4,化粧水と美容液って何が違うの？,さあ、問題です！化粧水と美容液、この2つの違いをパッと答えられますか？,今回は、それぞれに特別な使命がある化粧水と美容液の違いを解説します。,"・肌への浸透は「分子量」がカギ
・化粧水は水分補給が目的
・美容液は高濃度成分で集中ケア","・化粧水：肌全体のうるおいの土台作り
・美容液：悩みへの高濃度集中ケア",つまり、化粧水は基本の水分補給、美容液は特別なお悩みケアです。,"・まずは化粧水で保湿習慣を
・肌が安定したら悩みに合わせて美容液をプラス","・保存して見直すスキンケアの基本
・失敗しないコツは
・アイテムを段階的に増やすこと"
5,順番を変えると効果はなくなる？,乳液を先に塗っちゃった！そんな朝の大失敗、実はそこまで悲観することもないんですが...,なぜスキンケアの順番が大切なのか、その理由を知ればもう間違えなくなります。,"・スキンケアの基本ルール
・「水っぽいもの→油っぽいもの」の順番で
・先に油分を使うと水分が弾かれてしまう！","・スキンケアの順番、間違えると効果半減
・美容成分が肌に届いてないかも…
・正しい順番が美肌への近道です",つまり、正しい順番でこそ、スキンケアアイテムの効果は最大限に引き出せるんです。,"・美肌の基本は「順番」が大切
・洗顔→化粧水→美容液→乳液
・まずはこの順番を守ることから始めよう！","・保存して正しい順番を確認！
・明日の朝から意識して使ってみてね"
6,オールインワンで十分なの？,オールインワンのジャー、これ1つで本当に大丈夫ですか？実は年齢と肌質がすべてを決めるんですよ,時短やコスパで選んだオールインワン、実は各機能が薄まっている可能性に気づいていますか？,"・30代以降、オールインワンは効果が薄まる可能性
・皮脂減少で水分と油分のバランスが崩れがち
・肌のバリア機能低下に要注意","・20代や皮脂が気になる方向け
・乾燥肌・年齢肌には物足りないかも",つまり、オールインワンで十分かは、肌質・年齢・ライフスタイルによって決まります。,"・まずはオールインワンでケア習慣を
・物足りなければアイテムを追加でOK！","・保存して自分の肌と向き合おう
・今の肌に必要なケアが見つかる"
7,「アルコールフリー」って本当に肌にいいの？,みなさん、アルコールフリーの真実を知っていますか？万能ではないんです,今回は、肌質によっては逆効果にもなるアルコールフリーについて解説します。,"・敏感肌はバリア機能が低下した状態
・「アルコールフリー」は主にエタノールのこと
・乾燥リスクもあるけど殺菌・収れん効果も","・敏感肌・乾燥肌に◎ 脂性肌・ニキビ肌もOKな場合アリ
・重要なのは「エタノール」の有無
・成分表示をチェックしてみて！",つまり、アルコールフリーは万能ではなく、自分の肌質に合わせて選ぶことが大切です。,"・「アルコールフリー」でも要注意！
・他のアルコール成分が含まれることも
・購入前はパッチテストで肌反応を確認","・【保存して】スキンケア選びの参考に
・「成分表示」を確認する習慣をつけよう！"
8,敏感肌でも使えるビタミンCってある？,敏感肌だからビタミンCは無理、そう諦めていませんか？油溶性タイプなら大丈夫ですよ,この投稿の方法なら、敏感肌でも安心してビタミンCを始められます。,"・純粋なビタミンCは刺激が強く赤みの原因に
・敏感肌には穏やかな油溶性ビタミンC誘導体がおすすめ","・乾燥肌・敏感肌さんにおすすめ
・刺激の少ない「油溶性ビタミンC誘導体」を選んで
・水溶性タイプより低刺激なのがポイント",つまり、敏感肌でもビタミンCの種類と濃度を選べば、安全に使えるということです。,"・まずは低濃度(1-3%)からスタート
・夜のスキンケアで試してみて
・不安な時は専門医に相談！","・【保存推奨】敏感肌のビタミンCデビュー
・慎重に始めれば美容効果を実感！"
9,成分表のどこを見れば安心？,成分表のカタカナ地獄にお疲れのあなた、上位5成分だけチェックすればOKです,実はポイントを絞れば、サッと見るだけで安全性が判断できるんです。,"・化粧品の成分表示は配合量の多い順
・注目すべきは「1%ライン」
・敏感肌さんは刺激成分を要チェック！","・上位5-6成分をチェック！
・刺激になりやすい要注意成分
・エタノール・香料・合成着色料・パラベン",つまり、全成分を覚える必要はなく、上位の主要成分だけチェックすれば十分なんです。,"・敏感肌はシンプル処方からスタート
・不安なら専門医に相談
・自分に合う成分を見つけよう","・保存して、お買い物の成分チェックに活用！
・これで安心してスキンケアが選べるようになります
・もう買い物で迷わない"
10,マスクでニキビができるのはなぜ？,もううんざり！マスクをつけるたびにニキビが増えるって、一体なんなんでしょう？,今回は、マスクでニキビができるメカニズムを解明します。,"・マスク内は高温多湿で菌が繁殖しやすい
・摩擦で肌のバリア機能が低下
・蒸れで肌が傷つきやすい状態に","・蒸れによる細菌繁殖
・摩擦による皮膚刺激
・この２つが毛穴詰まり・炎症の原因に！",つまり、マスクニキビは環境要因と物理的刺激の複合的な問題なんです。,"・肌に優しいマスクを選ぶ
・外した後は清潔に保つ
・スキンケアは低刺激で","・保存して見返すマスクニキビ対策
・毎日のひと工夫で肌荒れ改善！"
11,マスクの素材で肌荒れしやすさは変わる？,不織布、綿、ウレタン...どれでも同じじゃないって知ってました？,実は、肌に優しいマスク素材には明確なランキングがあるんです。,"・マスクの繊維による物理的な刺激
・実は「接触皮膚炎」の原因に
・特に敏感肌の人は要注意","・肌に最も優しいのは綿などの天然繊維
・次に優しいのは不織布
・刺激になりやすいのはポリウレタンなど合成繊維",つまり、素材選びは肌荒れ予防の重要なポイントです。,"・マスク肌荒れは、まず綿100%マスクを試す
・改善しなければスキンケアの見直しを","・保存してマスク選びの参考に
・自分の肌に合う素材を見つけて
・快適なマスク生活を！"
