No,カテゴリ,企画タイトル,概要
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介
3,スタッフの日常,バッグの中身チェック,コスメ・お菓子・お守りアイテムなどを見せる
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介
5,スタッフの日常,制服チェンジ動画,普段着から白衣に切り替わるトランジション動画
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介
7,クリニック紹介,ビフォーアフターのデモ,手の甲の水分チェックなど簡単な施術例を紹介
8,クリニック紹介,施術準備の舞台裏,タオルの折り方や道具のセッティング風景を紹介
9,クリニック紹介,よくある質問シリーズ,患者さんからの質問をナレーションやテロップで解説
10,クリニック紹介,おすすめ施術ランキングTOP3,スタッフ目線でおすすめの施術を紹介
11,トレンド,美容ナースあるある,流行りの音源を使って美容ナースの日常あるあるを再現
12,トレンド,制服の紹介,同じポーズでジャンプして普段着→施術着→私服に切り替え
13,トレンド,スタッフ寸劇,患者さんにありがちな質問を面白く寸劇風に再現
14,トレンド,流行ハッシュタグ企画,#手荷物チェック #朝のルーティンなど流行タグを活用
15,トレンド,施術機器を推し紹介,機械を“推しキャラ”風に可愛く紹介
16,親近感,好きなドリンク・おやつ紹介,仕事合間に飲む・食べる癒しアイテムを紹介
17,親近感,休日の過ごし方Vlog,カフェ・買い物・推し活などプライベートをVlog風に
18,親近感,施術後のご褒美シリーズ,施術後にみんなで食べるスイーツやおやつを紹介
19,親近感,スキンケアポーチ公開,看護師の愛用コスメや美容液を紹介
20,親近感,店舗ごとの雰囲気紹介,同じ企画を全店舗で撮影して比較紹介
21,スタッフの日常,出勤エリアの風景紹介,通勤途中で見える景色や駅前をサッと映して「ここから通ってます」と紹介
22,スタッフの日常,お気に入りの通勤アイテム,通勤バッグの中で欠かせないグッズ（イヤホン・本・お菓子）を紹介
23,スタッフの日常,スキンケア準備アイテム,仕事前に必ず塗るリップや保湿アイテムを紹介
24,スタッフの日常,メイクのこだわりポイント,勤務用メイクの「ここだけは欠かせない！」を短くシェア
25,スタッフの日常,帰宅後のリラックスルーティーン,帰宅してからのオフモード切替アイテムや習慣を紹介
26,スタッフの日常,スタッフ同士のランチ座談会,複数人でランチしながら雑談風に動画を撮影
27,スタッフの日常,朝のコーヒータイム,出勤前や合間に飲むドリンクと気分を紹介
28,スタッフの日常,シフト前の準備の様子,髪をまとめたり白衣を整える実際の様子を撮影
29,スタッフの日常,私の愛用シューズ紹介,仕事で履いている靴や通勤靴を紹介
30,スタッフの日常,お気に入りの制服アレンジ,髪留めや靴下など小物での工夫を見せる
31,親近感,推しアイテム紹介,スタッフそれぞれの「推しコスメ」「推し飲料」を紹介
32,親近感,一日の疲れリセット方法,お風呂・アロマ・ストレッチなどをスタッフごとに紹介
33,親近感,最近のマイブーム,今ハマっていること（ドラマ・音楽・趣味）をシェア
34,親近感,休日のご褒美ごはん,休日に食べるちょっと贅沢な外食やスイーツを紹介
35,親近感,ペット紹介,自宅の犬猫や観葉植物など癒しの存在を紹介
36,親近感,カフェ巡り紹介,休日に訪れた近所や出勤途中のカフェを紹介
37,トレンド具体,「あるある寸劇」業務編,「予約時間に遅れて焦る」「施術後鏡を見て驚く」などの場面を短尺コント化
38,トレンド具体,「2択質問」シリーズ,「休日は寝る派？出かける派？」などをスタッフが答える参加型企画
39,トレンド具体,「バッグの中身○○円以内縛り」,1000円以内で揃えた便利グッズなどを紹介する縛りネタ
40,トレンド具体,「施術準備チャレンジ」タイムアタック,タオルや機械セッティングを早送りで見せて「何分で準備できるか」を企画化
