No,カテゴリ,企画タイトル,概要,シーン番号,シーン概要,映像イメージ,必要な撮影素材,テロップ（文字）,音声（ナレーション）,効果音（オノマトペ）,注意点・指示
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,1,オープニング,"動画：清潔感のあるナース服を着たスタッフがタイムカードを押す手元のアップ動画
テロップ：『とあるクリニック看護師の1日』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：手元に寄ってスマホで撮影
ライティング：天井照明＋リングライト",とあるクリニック看護師の1日,（アップテンポなBGMスタート）,ピコンッ,タイムカードの機械に個人名が表示されないように注意。爪は短く清潔に。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,2,更衣,"動画：ロッカーを開け、ナース服に着替える様子（早送り）。手元や足元など部分的なカットを繋ぐ。
テロップ：『AM 9:05 更衣』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：スマホで固定撮影、または手持ちで動きに合わせて撮影
ライティング：更衣室の照明",AM 9:05 更衣,（BGM）,シュババッ,ロッカーの中の私物が見えすぎないように。着替えシーンは不快感を与えないよう、手元や服をハンガーから取る様子などにフォーカスする。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,3,朝礼・申し送り,"動画：スタッフ数名がメモ帳や電子カルテ（ダミー）を見ながら話している手元の様子。頷く仕草などを入れる。
テロップ：『AM 9:15 申し送り』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：看護師役スタッフ複数名
撮影者：別スタッフ
方法：テーブルの上の手元にフォーカスして撮影
ライティング：室内の照明",AM 9:15 申し送り,（BGM）,パラパラ,カルテやメモに個人情報が絶対に映らないようにダミーを使用する。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,4,施術準備,"動画：施術に必要な器具をトレイに手際よく並べる手元（早送り）。消毒液をスプレーする様子も入れる。
テロップ：『AM 10:00 施術準備』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：手元アップ、俯瞰撮影を組み合わせる
ライティング：施術室の照明＋リングライト",AM 10:00 施術準備,（BGM）,カチャカチャ、シュッ,器具の取り扱いは丁寧に。清潔感を第一に撮影する。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,5,ランチタイム,"動画：スタッフルームでお弁当の蓋を開ける。同僚と楽しそうに話している雰囲気（手元や肩越し）。
テロップ：『PM 1:00 LUNCH TIME』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：看護師役スタッフ複数名
撮影者：別スタッフ
方法：少し引きで和やかな雰囲気が伝わるように撮影
ライティング：スタッフルームの自然光や照明",PM 1:00 LUNCH TIME,（BGM）,パカッ、もぐもぐ,お弁当の中身やパッケージでブランドが特定できないように注意。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,6,午後の業務（PC作業）,"動画：パソコンのキーボードを高速でタイピングする手元（早送り）。マウスを操作する様子も入れる。
テロップ：『PM 2:30 カルテ入力』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：斜め上から手元をアップで撮影
ライティング：デスクライトやリングライトで手元を明るく",PM 2:30 カルテ入力,（BGM）,カタカタカタッ,PCモニターに個人情報やデスクトップのアイコンが映らないように、ダミー画面を表示するか、角度を工夫する。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,7,片付け・清掃,"動画：使用した器具を洗浄・片付けしたり、施術台を消毒液で拭いたりする様子（早送り）。
テロップ：『PM 5:30 片付け』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：様々なアングルからテンポよく撮影
ライティング：室内の照明",PM 5:30 片付け,（BGM）,キュッキュッ,清潔感を強調するため、手際よく、丁寧な動きを意識する。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,8,帰宅,"動画：ロッカーを閉め、私服姿で「お疲れ様でした」と軽く会釈し、クリニックのドアから出ていく後ろ姿。
テロップ：『PM 6:00 お疲れ様でした！』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：後ろから追いかけるように撮影
ライティング：クリニック内の照明",PM 6:00 お疲れ様でした！,（BGMが盛り上がり、フェードアウト）,パタン,最後は少しゆっくりとした動きで、余韻を残す。
1,スタッフの日常,看護師の1日ルーティーン,出勤〜施術準備〜ランチ〜帰宅までを早送り編集で紹介,9,エンディング,"静止画：白背景にクリニックのロゴと名前を表示。
テロップ：『〇〇クリニック』『看護師さん募集中！詳しくはプロフリンクから』
色=黒、サイズ=中、位置=中央","素材：クリニックのロゴデータ
編集で追加","〇〇クリニック
看護師さん募集中！
詳しくはプロフリンクから",（無音）,キラキラ,ロゴは中央に大きく表示。採用につなげたい場合は募集文言を入れる。
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,1,オープニング,"動画：スタッフが休憩室のドアをゆっくり開ける手元アップ。
テロップ：『今日のランチ、何にする？』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフA
撮影者：別スタッフ
撮影方法：手元に寄ってスマホで撮影。ドアノブを回して開けるまで。
ライティング：天井照明",今日のランチ、何にする？,（軽快なBGMスタート）,ガチャ、キラキラ,清潔感のある制服の袖が見えるように。爪は短く清潔に。ドアの向こうが散らかっていないか確認。
